Page ID,Page name,Disclaimer,Amount spent (NGN)
1051848861656365,Coca-Cola HBC Careers,These ads ran without a disclaimer,501
568487499838700,Joshua Iginla Ministries,These ads ran without a disclaimer,461
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,379
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,300
100202924924063,Page 36,Page 36,154
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,125
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,116
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,104
108431715228675,Ifesim,Chekwube Ifesim Fan,≤100
254675514979586,Insidestoryng,Martins Onuorah,≤100
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,≤100
605599926578140,Distinguished Senator Yakubu Oseni Media Crew,Hamzat Amoto Muhammedjamiu,≤100
374543173059777,Hon. Adewumi Adeyemi,Adedayo Tolulakin Oderinu,≤100
590988894896998,RNB Blog,These ads ran without a disclaimer,≤100
102169824695398,Rero TV,Rero TV,≤100
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,≤100
102406562561015,Umar Namadi,Muttaka Turaki Gujungu,≤100
100106488114541,Sani Ibrahim,These ads ran without a disclaimer,≤100
105054502475162,Kundila Epemilo Philip,These ads ran without a disclaimer,≤100
110034854692816,Eyewitness Nigeria,Eyewitness Nigeria,≤100
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,≤100
104208298990251,Tobe Motors,These ads ran without a disclaimer,≤100
111886761834763,Amel page,These ads ran without a disclaimer,≤100
103018869332378,BantuPage,Ikechukwu Orji,≤100
100764834839333,Minister Christy Ogbewi,These ads ran without a disclaimer,≤100
108078285184480,Funfunlogun Exploratory Group,These ads ran without a disclaimer,≤100
103056309161921,Meksmedia,Meksmedia,≤100
1741170089436080,National Association of Banking & Finance Students - Nabafs,These ads ran without a disclaimer,≤100
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,≤100
107996315091233,月旦港事,These ads ran without a disclaimer,≤100
105431854354209,Mlatho,These ads ran without a disclaimer,≤100
191066234648103,Shehu Musa Yar'Adua Foundation,Shehu Musa Yar'Adua Foundation,≤100
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100
1617885935139653,The Liberator,The Liberator,≤100
107991992094737,narlyboyy,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
