Page ID,Page name,Disclaimer,Amount spent (USD)
611176288894923,Leng Navatra   ឡេង ណាវ៉ាត្រា,Pheaktra Leng,≤100
561034580603226,គីម រិទ្ធី •• Kim Rithy,គីម រិទ្ធី •• Kim Rithy,≤100
2260430647540976,កម្ពុជា ៤.០ - Cambodia 4.0,Reun Daro,≤100
206984670430,Cambodian Center for Human Rights l មជ្ឈមណ្ឌលសិទ្ធិមនុស្សកម្ពុជា,Cambodian Center for Human Rights l មជ្ឈមណ្ឌលសិទ្ធិមនុស្សកម្ពុជា,≤100
117473362451544,Pheng Vannak News,Chy Yam,≤100
1556626584654766,Rin Virak - រិន វីរៈ,Ly Sophanith,≤100
271082999713221,Cri ccfr,Cri ccfr,≤100
105866705100869,Khmer Tech Market,Khmer Tech Market,≤100
105863955069794,Association of Freedom for Cambodian Journalists-សសអក,Tes Vibol,≤100
783660018410989,H.E. Oknha Datuk Othsman Hassan,Roya Mat,≤100
1278372118852561,មាន ចាន់យ៉ាដា - Mean Chanyada,មាន ចាន់យ៉ាដា - Mean Chanyada,≤100
106374614548737,ខេមបូចា ព័ត៌មាន,ខេមបូចា ព័ត៌មាន,≤100
311212062405665,យ៉េង វីរៈ,យ៉េង វីរៈ,≤100
894590403930891,សោម ពិសិដ្ឋ អភិបាលខេត្តកែប - Som Piseth Governor of Kep Province,សោម ពិសិដ្ឋ អភិបាលខេត្តកែប - Som Piseth Governor of Kep Province,≤100
1995251780700007,បណ្ឌិត ងិន បាណាល់ - Dr. NGIN Banal,Dyna Moeung,≤100
1129900250496858,EBo_Bookstore,EBo_Bookstore,≤100
558050957660331,ព្រឹទ្ធសភាកម្ពុជា Senate of Cambodia,Kok Vay,≤100
