Page ID,Page name,Disclaimer,Amount spent (ZAR)
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,2247
740116816003959,Western Cape Government,Western Cape Government,1865
253615198009828,Anglo American,These ads ran without a disclaimer,1197
144985128871748,City of Cape Town,City of Cape Town,1013
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,431
6011868110,Democratic Alliance,Democratic Alliance,214
136956534616,Times LIVE,TimesLIVE,212
107169379305548,TLU SA,TLU SA,170
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,134
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,132
116657351312927,Pledge To Vote SA,Pledge to Vote,115
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),106
181204251979581,NEASA,National Employers' Association of South Africa,≤100
2145594122138312,Action Society,Action Society,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
208689879164310,ANC KwaZulu-Natal,Mfanelo Magwaza,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance Mossel Bay Constituency,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
108096858922548,The People's Movement,The People's Movement,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
101212409076313,VF Plus - Mosselbaai,These ads ran without a disclaimer,≤100
1271402709601865,HEALA,HEALA,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
286506558722350,Inside Politics,Inside Politics,≤100
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100
106047458085610,Inspire kasi lifestyle,These ads ran without a disclaimer,≤100
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,≤100
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100
109289161692453,Boitekanelo Private Healthcare,These ads ran without a disclaimer,≤100
1090814171006609,Men's Lives Matter Too,These ads ran without a disclaimer,≤100
2215254718532346,Democratic Alliance - Northern Areas,Democratic Alliance,≤100
117225691317104,Rejoyce Ncube,These ads ran without a disclaimer,≤100
108607351041275,FAB Group,These ads ran without a disclaimer,≤100
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100
101654211887389,Jerusalem Online - Arts & Culture,These ads ran without a disclaimer,≤100
106705804357319,Bluetti Global,These ads ran without a disclaimer,≤100
