Page ID,Page name,Disclaimer,Amount spent (EUR)
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
101519168409673,Dimitar Kovacevski,Димитар Ковачевски,≤100
1503076853320130,Единствена Македонија,Единствена Македонија,≤100
106175234344995,Зоран Коцевски,Zoran Kocevski,≤100
287369438092961,Бојан Стојаноски,Бојан Стојаноски,≤100
829371753904952,Hristijan Mickoski,ВМРО-ДПМНЕ,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
192483774872658,Демократи,Демократи,≤100
335085593528267,Sloboden Pecat,Sloboden Pecat,≤100
164829683652900,Faktor.mk,Faktor.mk,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
553351041394651,Скопски Квир Центар,Скопски Квир Центар,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
112622660371058,Гласни идеи,Гласни идеи,≤100
110116725731764,USAID North Macedonia,These ads ran without a disclaimer,≤100
1465978237037042,Ivon Velichkovski,Ivon Veličkovski,≤100
373536278864,UNICEF Europe & Central Asia,These ads ran without a disclaimer,≤100
