Page ID,Page name,Disclaimer,Amount spent (EUR)
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,≤100
174665665924142,IKEA,IKEA,≤100
480077632487005,Daikin Portugal,Daikin Portugal S.A.,≤100
178362315106,European Parliament,European Parliament,≤100
347829038571812,Aldeias de Crianças SOS Portugal,Aldeias de Crianças SOS Portugal,≤100
587845577964346,Médicos Sem Fronteiras,Médicos Sem Fronteiras,≤100
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu Gabinete em Portugal,≤100
163880252839,Deco Proteste,DECO PROTESTE,≤100
901697383231864,Contas Connosco,Contas Connosco,≤100
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,≤100
107898832590939,European Commission,European Commission,≤100
145359705502132,Pordata,PORDATA,≤100
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100
101920814806371,Casa dos livros,Casa dos livros,≤100
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,≤100
481847405755917,Teva Portugal,Teva Portugal,≤100
85728663404,Standvirtual,Standvirtual,≤100
145751788810743,Maria da Graça Carvalho,Grupo do Partido Popular Europeu,≤100
107252064043989,Luís Montenegro,Partido Social Democrata,≤100
651837195289903,Power Dot Portugal,Power Dot Portugal,≤100
391346758158809,Livros aos molhos,Livros aos molhos,≤100
1040873502644920,ZERO - Associação Sistema Terrestre Sustentável,ZERO - Associação Sistema Terrestre Sustentável,≤100
100540912157837,Palácio da Leitura,Palácio da Leitura,≤100
568028987050017,Livros com História,Livros com História,≤100
101271588687949,Ariston Portugal,These ads ran without a disclaimer,≤100
238855579966,Lua de Papel,Leya,≤100
582360601854799,Manuseado,Manuseado,≤100
104593595986605,angela.rijo,These ads ran without a disclaimer,≤100
180431522657278,Plataforma Media,These ads ran without a disclaimer,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
325947881481785,Mais Cofidis,Mais Cofidis,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
412322482264070,Nespresso,Nespresso,≤100
48046820798,Veeam Software,These ads ran without a disclaimer,≤100
128950707471935,Ugreen - South America,These ads ran without a disclaimer,≤100
101668682611759,Благодійний фонд A36,These ads ran without a disclaimer,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
