Page ID,Page name,Disclaimer,Amount spent (HNL)
703368406666619,Vox Populi HN,Vox Populi HN,1123
104689971254308,"Jorge Sandres - Santa Ana, F.M.",These ads ran without a disclaimer,280
481781965172466,Aquafinca St Peter Fish,Aquafinca St Peter Fish,247
114912491193414,Secretaría de Infraestructura y Transporte,Secretaría de Infraestructura y Transporte,155
486382251906084,Honduras El Pais,Diario El  Pais.hn,101
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
131793653512148,Diario La Prensa,Diario La Prensa,≤100
113645808318336,fredy.caballero_,These ads ran without a disclaimer,≤100
107431635701822,Huang Hsi,These ads ran without a disclaimer,≤100
105496395206294,Movimiento Leovigildo Pineda Cardona,These ads ran without a disclaimer,≤100
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,≤100
118631361198155,Drivepedia Thrills,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
171195311682401,ParentzTalk - Activities,These ads ran without a disclaimer,≤100
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,≤100
