Page ID,Page name,Disclaimer,Amount spent (NGN)
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,373
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,355
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,251
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,138
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,≤100
100202924924063,Page 36,Page 36,≤100
254675514979586,Insidestoryng,Martins Onuorah,≤100
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,≤100
374543173059777,Hon. Adewumi Adeyemi,Adedayo Tolulakin Oderinu,≤100
108431715228675,Ifesim,Chekwube Ifesim Fan,≤100
590988894896998,RNB Blog,These ads ran without a disclaimer,≤100
605599926578140,Distinguished Senator Yakubu Oseni Media Crew,Hamzat Amoto Muhammedjamiu,≤100
102169824695398,Rero TV,Rero TV,≤100
102406562561015,Umar Namadi,Muttaka Turaki Gujungu,≤100
100106488114541,Sani Ibrahim,These ads ran without a disclaimer,≤100
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,≤100
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,≤100
105054502475162,Kundila Epemilo Philip,These ads ran without a disclaimer,≤100
111886761834763,Amel page,These ads ran without a disclaimer,≤100
236831106803225,Accountability Lab Nigeria,Accountability Lab Nigeria,≤100
110034854692816,Eyewitness Nigeria,Eyewitness Nigeria,≤100
1741170089436080,National Association of Banking & Finance Students - Nabafs,These ads ran without a disclaimer,≤100
108165847620952,Halimran printing,Enesi Audu Imrana,≤100
104208298990251,Tobe Motors,These ads ran without a disclaimer,≤100
103056309161921,Meksmedia,Meksmedia,≤100
103018869332378,BantuPage,Ikechukwu Orji,≤100
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,≤100
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,≤100
108078285184480,Funfunlogun Exploratory Group,These ads ran without a disclaimer,≤100
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,≤100
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100
1051848861656365,Coca-Cola HBC Careers,These ads ran without a disclaimer,≤100
107996315091233,月旦港事,These ads ran without a disclaimer,≤100
109256524011547,Friends of Palestine,These ads ran without a disclaimer,≤100
102854792575685,Powmr_Official,These ads ran without a disclaimer,≤100
568487499838700,Joshua Iginla Ministries,These ads ran without a disclaimer,≤100
191066234648103,Shehu Musa Yar'Adua Foundation,Shehu Musa Yar'Adua Foundation,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
