Page ID,Page name,Disclaimer,Amount spent (GTQ)
102762215788405,VOS.gt,VOS.gt,702
196258110831945,Partido Valor,Partido Valor,249
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,153
268285610002238,FCN Nación,FCN Nación,135
161800283848513,CREO,CREO,≤100
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,≤100
105946259158286,Arias Consultores Guatemala,Arias Consultores,≤100
110226594945647,Partido BIEN,Partido BIEN,≤100
331961940541181,Partido Victoria,Partido Político Victoria,≤100
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,≤100
312457492980456,Opinión Gt,Opinión Gt,≤100
101372268406640,Unión Republicana,Unión Republicana,≤100
744048319050593,Partido Humanista de Guatemala -PHG-,Partido Humanista de Guatemala -PHG-,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,≤100
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100
436246383083297,TODOS,TODOS,≤100
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100
110582257361172,Partido Azul,Partido Azul,≤100
1849068175149032,Movimiento Político WINAQ,Movimiento Político WINAQ,≤100
249889355058521,Red Ciudadana,Red Ciudadana,≤100
109636635471594,Melani S,These ads ran without a disclaimer,≤100
116255971414800,Política Migración,Política Migración,≤100
105685841067405,Alianza Global de Jóvenes Políticos Guatemala,Alianza Global de Jóvenes Políticos Guatemala,≤100
281554395331686,República,"Republica GT, S.A.",≤100
2222791404663045,"CABAL Sibinal, San Marcos",These ads ran without a disclaimer,≤100
102235465975529,"UNE La Democracia , Huehuetenango",These ads ran without a disclaimer,≤100
100815848732017,Toto es gente de BIEN,Toto es gente de BIEN,≤100
107592792281275,Valor Nentón,Valor Nentón,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
121638447515460,Marcelo Almeida,These ads ran without a disclaimer,≤100
120949370948049,Evolución mental,These ads ran without a disclaimer,≤100
109854858755537,Irrain Corado,Irrain Corado,≤100
119501848701001,Mi Gente CA,These ads ran without a disclaimer,≤100
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100
