Page ID,Page name,Disclaimer,Amount spent (BOB)
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,200
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
298109860382931,Alejandro Izquierdo,These ads ran without a disclaimer,≤100
1404045426527172,Tribunal Supremo Electoral,Tribunal Supremo Electoral,≤100
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,≤100
110199033724802,INFO CECP,These ads ran without a disclaimer,≤100
101700152907065,,These ads ran without a disclaimer,≤100
2328823850688165,José M. Ormachea,José M. Ormachea,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
190739455190659,Molly Saldaña,Molly Margarita Saldaña Araujo,≤100
269633369881331,Senador Rodrigo Paz,Gabriela Pacello Guillen,≤100
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,≤100
636958269681223,Mauricio Lea Plaza P.,Mauricio Adolfo Lea Plaza Peláez,≤100
405379246524515,DHL Express,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
