Page ID,Page name,Disclaimer,Amount spent (USD)
102176209508443,Topchan_daily,These ads ran without a disclaimer,≤100
105747815677191,Батальон обречённых,Айдар Бөгембайұлы,≤100
113399854332655,Tiger Films,Tiger Films,≤100
106607305511065,Выбор Страны - Ел Таңдауы,These ads ran without a disclaimer,≤100
170032706814473,Республика - Kazakhstan 2.0,Юлия Козлова,≤100
882311285179814,Feminita,Feminita,≤100
101784368426506,Check-point.kz,These ads ran without a disclaimer,≤100
254153404625528,Деловой портал Капитал.kz,Деловой портал Капитал.kz,≤100
100688265668302,Нұрлан Көптілеутегі,These ads ran without a disclaimer,≤100
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100
144776752025,Голос Америки,These ads ran without a disclaimer,≤100
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100
