Page ID,Page name,Disclaimer,Amount spent (ISK)
314036327204,VR,VR,540
152804904889,Samfylkingin,Samfylkingin,512
105116352958747,ÖBÍ réttindasamtök,ÖBÍ réttindasamtök,219
737169626371453,Stundin,Stundin,145
154893001218870,ADHD samtökin,ADHD samtökin,117
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,108
156161194561570,Kjarninn,Kjarninn,108
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,≤100
165630723862615,Andríki,Andríki,≤100
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,≤100
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,≤100
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,≤100
276274722490886,Alþýðusamband Íslands - ASÍ,Alþýðusamband Íslands - ASÍ,≤100
202802126448131,Samfylkingarfélagið í Reykjavík,Samfylkingarfélagið í Reykjavík,≤100
106979180938014,Samstöðin,Samstöðin ehf,≤100
573559522797177,Flokkur fólksins,Flokkur Fólksins,≤100
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,≤100
218020061613734,UBS,These ads ran without a disclaimer,≤100
110019488564180,Tepoloy-US,These ads ran without a disclaimer,≤100
964926116915133,"Cat Construction Europe, Middle East & Africa",These ads ran without a disclaimer,≤100
222717911120348,Venus Remedies Limited,These ads ran without a disclaimer,≤100
