Page ID,Page name,Disclaimer,Amount spent (ISK)
152804904889,Samfylkingin,Samfylkingin,6882
737169626371453,Heimildin,Stundin,2994
573559522797177,Flokkur fólksins,Flokkur Fólksins,712
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,493
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,340
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,204
154893001218870,ADHD samtökin,ADHD samtökin,176
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,155
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,≤100
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,≤100
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,≤100
