Page ID,Page name,Disclaimer,Amount spent (COP)
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,1064
120925518113593,Alcaldía de Manizales,Universal Group Agencia de Comunicaciones SAS,276
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,156
1961087004115019,Zijin-Continental Gold Colombia,Zijin-Continental Gold,≤100
407615769604377,Mutante,Fundación Mutante,≤100
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,≤100
835710939898329,Paulina Aguinaga,Paulina Aguinaga,≤100
1090401507639440,Funcicar,Funcicar,≤100
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,≤100
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),≤100
108875804858437,Antimilitantes,Antimilitantes,≤100
101170393279528,Rodrigo Villalba Mosquera,Martha Diaz,≤100
333260000169400,Nariño Vive Underground,José Felix Champutis Calpa,≤100
170633243101916,Alexander Serrato Fonseca,Fernando Alexander Serrato Fonseca,≤100
471698040072735,Siagama/Alcalde P/R,Leonardo Siagama,≤100
113149344929527,Loly Montañez,Loly Montañez,≤100
643513979193133,Unidos por Beatriz,Neuma,≤100
1823807254333065,Soy Más País,Soy Mas Pais,≤100
1492738294345790,Carlos Sterling,Sebastian Cardoso Sabogal,≤100
856012741442139,Ipas LAC,Neuma,≤100
1501219250114677,Fundación Mujer del Nuevo Milenio - Fundamil,FUNDAMIL,≤100
765302097170348,Línea Cero,Linea Cero,≤100
420844811422014,Vive El Meta,Vive El Meta,≤100
190649367660431,Orlando Benítez,Orlando David Benitez Mora,≤100
106081525464698,SOY Patrimonio - Pienso Investigo y Conecto,Daniel Angarita,≤100
442699302590325,Fundación Ideas para la Paz,Fundación Ideas para la Paz,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100
