Page ID,Page name,Disclaimer,Amount spent (BAM)
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,104
104197490039539,N1 Bosna i Hercegovina,N1 BiH,≤100
113041725065224,Pravna sigurnost je zakon / Правна сигурност је закон,OHR,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
109652028193268,Revizije info,Revizije info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
197596636939679,tacno.net,Tacno.net,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
101520789449070,Zaštitimo izvore Mandeka,Zaštitimo izvore Mandeka,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
147315858633088,Istinomjer,Istinomjer,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
2430163100537312,Spin Info,Spin Media,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
105412905161989,Огњен Бодирога,Огњен Бодирога,≤100
101468775840689,Jovana Cvišić,Jovana Cvišić,≤100
108245332026417,NGG Poriče Bugojno,NGG Poriče Bugojno,≤100
376317369783170,Afro Nation,These ads ran without a disclaimer,≤100
849168121871060,Принцип,These ads ran without a disclaimer,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
122206094114312,3x3 Basket PRO Tour,These ads ran without a disclaimer,≤100
1473660889517303,Irfan Čengić,Irfan Čengić,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100
108921235325237,ZOOOM TV Doboj,These ads ran without a disclaimer,≤100
1660942834191781,"Nauka govori - UG ""Nauka i svijet""",These ads ran without a disclaimer,≤100
