Page ID,Page name,Disclaimer,Amount spent (UYU)
409758545881921,Intendencia de Colonia,Intendencia de Colonia,864
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
225968600759645,Andrés Lima,Andrés Lima,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Nuñez,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
316246769083069,Corruptos Radio,Corruptos Radio,≤100
118843371534548,AUTE - Agrupación UTE - Sitio Oficial,AUTE,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
