Page ID,Page name,Disclaimer,Amount spent (UYU)
292074670808351,Frente Amplio,Frente Amplio,≤100
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,≤100
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
105120851121250,Ignacio Munyo,Ignacio Munyo,≤100
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,≤100
101031605841842,Viento de Cambio Uruguay,Communicare Consulting Group,≤100
860395507438977,Compromiso con el cambio,Santiago Raffo Arias,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
678862909193684,Jesús de León,These ads ran without a disclaimer,≤100
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,≤100
382234585285467,VAMOS SALTO,VAMOS SALTO,≤100
1484086678554426,MobDica,These ads ran without a disclaimer,≤100
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100
