Page ID,Page name,Disclaimer,Amount spent (HNL)
703368406666619,Vox Populi HN,Vox Populi HN,219
112724021787834,Por Nuestros Hijos,Con Mis Hijos No Te Metas HN,104
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
114912491193414,Secretaría de Infraestructura y Transporte,Secretaría de Infraestructura y Transporte,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
1047750315359377,Tato Loucel,Edgardo  Hernan Loucel Aguilera,≤100
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100
474588795895313,Getafe C.F.,These ads ran without a disclaimer,≤100
103874242354782,Mayra Katarina Barck,These ads ran without a disclaimer,≤100
113480504938094,Fun facts,These ads ran without a disclaimer,≤100
2261413827506055,Diálogo Político,These ads ran without a disclaimer,≤100
