Page ID,Page name,Disclaimer,Amount spent (NGN)
191066234648103,Shehu Musa Yar'Adua Foundation,Shehu Musa Yar'Adua Foundation,461
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,184
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,116
374543173059777,Hon. Adewumi Adeyemi,Adedayo Tolulakin Oderinu,≤100
108431715228675,Ifesim,Chekwube Ifesim Fan,≤100
100202924924063,Page 36,Page 36,≤100
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,≤100
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,≤100
605599926578140,Distinguished Senator Yakubu Oseni Media Crew,Hamzat Amoto Muhammedjamiu,≤100
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,≤100
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,≤100
254675514979586,Insidestoryng,Martins Onuorah,≤100
102169824695398,Rero TV,Rero TV,≤100
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,≤100
111886761834763,Amel page,These ads ran without a disclaimer,≤100
104208298990251,Tobe Motors,These ads ran without a disclaimer,≤100
105054502475162,Kundila Epemilo Philip,These ads ran without a disclaimer,≤100
110034854692816,Eyewitness Nigeria,Eyewitness Nigeria,≤100
100106488114541,Sani Ibrahim,These ads ran without a disclaimer,≤100
590988894896998,RNB Blog,These ads ran without a disclaimer,≤100
102406562561015,Umar Namadi,Muttaka Turaki Gujungu,≤100
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,≤100
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,≤100
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100
105431854354209,Mlatho,These ads ran without a disclaimer,≤100
560059824335979,Oyogovernor2019.info vote for Olorunfemi Ogunbiyi to revive OYO STATE.,These ads ran without a disclaimer,≤100
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100
1617885935139653,The Liberator,The Liberator,≤100
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100
1051848861656365,Coca-Cola HBC Careers,These ads ran without a disclaimer,≤100
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,≤100
568487499838700,Joshua Iginla Ministries,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
