Page ID,Page name,Disclaimer,Amount spent (NGN)
104679584528987,Flourish,Flourish,172
103864958273670,"School of Politics, Policy, and Governance",The School Of Politics Policy and Governance,145
913242715449176,Prophet Ekong Ituen Ministries,Prophet Ekong Ituen Ministries,≤100
104391618995614,Nwachukwu Anthony Anakwenze,Nwachukwu Anthony Anakwenze,≤100
104238252286926,Nwankwo Promise Chibuzo,Nwankwo Promise Chibuzo,≤100
971769479677563,Gbenga Olawepo-Hashim,The Conclave,≤100
103018869332378,BantuPage,BantuPage,≤100
100465169753428,042 Agenda,These ads ran without a disclaimer,≤100
660685641036325,Sandeco Group,Sandeco Group,≤100
114101859961659,Hon. Joe Ikenwe,These ads ran without a disclaimer,≤100
101196944797896,Donrage Tv,These ads ran without a disclaimer,≤100
103294869043052,Olaniyan Toni,Olaniyan Toni,≤100
854694291339191,"Radiant Impact Bible Training College, Ghana",These ads ran without a disclaimer,≤100
107643362159905,Voice of the People TV,These ads ran without a disclaimer,≤100
100202924924063,Page 36,Page 36,≤100
117096813010738,The Light Givers Foundation,The Light Givers Foundation,≤100
111810962838210,WAFFI TV,WAFFI TV,≤100
103763351688640,Ta'awunu Human Rights Initiative THURIST,These ads ran without a disclaimer,≤100
117338947912474,Misbahu Usman Bature,These ads ran without a disclaimer,≤100
114840468305968,Amit Kumar,These ads ran without a disclaimer,≤100
596163924154008,Hon.kudirat,These ads ran without a disclaimer,≤100
606117676714191,Yoyoasema,These ads ran without a disclaimer,≤100
297904423657616,The ICIR,The ICIR,≤100
428157337550611,ICMM,These ads ran without a disclaimer,≤100
204426449574330,CNN Africa,These ads ran without a disclaimer,≤100
110932215218943,Obi-Datti 4 Nigeria,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
1653319091616796,Odia A Ogbebor Political Movement,Odia A Ogbebor Political Movement,≤100
342390989584137,SCLAN Television,SCLAN TV REALITY PROGRAM,≤100
