Page ID,Page name,Disclaimer,Amount spent (NOK)
329095637110085,FRANTZ AS,Frantz as,2919
234659001772,Arbeiderpartiet,Arbeiderpartiet,412
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,340
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,321
135843375926,UNICEF Norge,UNICEF Norge,143
371106536283235,DAG OG TID,Dag og Tid AS,132
275389322558295,LOs sommerpatrulje,LO,131
111345183340,Fagforbundet,Fagforbundet,116
10953652930,Høyre,Høyre,≤100
203067569732001,Fellesforbundet,Fellesforbundet,≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
102426916209178,Kristian Eilertsen - FrP,Harstad FrP,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
313753051208,Norsk Landbruksrådgiving,Norsk Landbruksrådgiving,≤100
108683575582234,Bjarne Rohde,Troms SV,≤100
233430160025187,Harstad FrP,Harstad FrP,≤100
322525743444,Get Inspired,These ads ran without a disclaimer,≤100
300587434088988,Nordkalottfolket på Sametinget,Nordkalottfolket,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
182722095112422,Målselv Arbeiderparti,Målselv Arbeiderparti,≤100
171408368520,Norad,Norad,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
73970658023,International Rescue Committee,These ads ran without a disclaimer,≤100
117726821605303,PBL,PBL,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
163294213706703,Norsk Sjøoffisersforbund,Norsk Sjøoffisersforbund,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
176175415825122,apotek.no,Apotekforeningen,≤100
54603926197,Finnmark SV,Troms og Finnmark SV,≤100
20468812735,LO,LO,≤100
136206693091663,Norges Fiskarlag,Norges Fiskarlag,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
105939782037295,Altinget.no,Altinget AS,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
156202914404133,Minerva,Mediehuset Minerva,≤100
102880842526503,Fluen på veggen,Fluen på veggen,≤100
103642311168469,Børre St. Børresen - samfunnsengasjert,Open-eye-Open-mind,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,≤100
10254410675,Venstre,Venstre,≤100
219212891435404,Ullensaker FrP,Ullensaker FrP,≤100
100588890043714,Bodø FrP,Bodø FrP,≤100
101517431718355,Generasjonspartiet,Generasjonspartiet,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
227438343945838,Forum for utvikling og miljø,Forum for utvikling og miljø,≤100
128566103830426,Civita,Civita AS,≤100
100107876331492,Telemark Arbeiderparti,Telemark Arbeiderparti,≤100
1875902792622658,Øygarden Arbeidarparti,Øygarden Arbeidarparti,≤100
1583324988565868,Stortinget,Stortinget,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
764891286856218,Porsgrunn Arbeiderparti,Porsgrunn Arbeiderparti,≤100
298964320208914,Lillesand Høyre,Lillesand Høyre,≤100
112631767587663,Meninger24,Meninger24,≤100
158517320882189,Ålesund SV,Ålesund SV,≤100
314029002424918,Tove Eggen,These ads ran without a disclaimer,≤100
504462853625184,Aure Høyre,Aure Høyre,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
118907661526276,Randaberg Arbeiderparti,Randaberg Arbeiderparti,≤100
111322125898812,Filter Nyheter,These ads ran without a disclaimer,≤100
108731807574685,Rødt Odal,Rødt Odal,≤100
101082842736363,The world of reader,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
