Page ID,Page name,Disclaimer,Amount spent (XCD)
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),316
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),167
486723854867439,MYUPP,United Progressive Party,≤100
203239449860143,Harold Lovell,United Progressive Party,≤100
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
128330884625097,Johnathan Joseph,United Progressive Party,≤100
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100
