Page ID,Page name,Disclaimer,Amount spent (NGN)
2010410822318073,Tvcnewsng,Tvcnewsng,2842
297904423657616,The ICIR,The ICIR,930
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,869
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,432
103532961871284,Marion Group,Ezerioha Vincent Uchenna,341
112015191108359,Inside Port Harcourt,Inside Port Harcourt,252
100391171881746,Matrixliveng.com,Matrixliveng.com,247
102031866241012,Michael's Prime Home,These ads ran without a disclaimer,229
660685641036325,Sandeco Group,Sandeco Group,218
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,212
100202924924063,Page 36,Page 36,106
2223336001067965,Global Visat,These ads ran without a disclaimer,103
104679584528987,Flourish,Tolutope Olubanke Anne Temitopeoluwa,≤100
118420731234931,Prince Adewale Egbedun,Ril Stories,≤100
108265042291590,TVC News,These ads ran without a disclaimer,≤100
105040160065727,"Mgbidi, Imo State",These ads ran without a disclaimer,≤100
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,≤100
104576632565512,K-Move,K-Move,≤100
106087644459808,Ladycubanatv,These ads ran without a disclaimer,≤100
108217010644446,Oku Ozieoghene Victory,Oku Ozieoghene Victory,≤100
102169824695398,Rero TV,Rero TV,≤100
101282089311461,Keicy Imago,Edward Emmanuel Bassey,≤100
122523510824672,White lodge society brotherhood temple Abuja,These ads ran without a disclaimer,≤100
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
118250031227922,YES - Youth Energy Summit,These ads ran without a disclaimer,≤100
113876210367608,The Sisters Show,These ads ran without a disclaimer,≤100
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100
204740833658478,Exness Life,These ads ran without a disclaimer,≤100
112335465017220,Edeigba Philip,These ads ran without a disclaimer,≤100
107102504969214,Abu-ubaida Muhammad,Abu-ubaida Muhammad,≤100
347645615820,Relational Gospel,These ads ran without a disclaimer,≤100
