Page ID,Page name,Disclaimer,Amount spent (VND)
109874745174543,Vàng Bạc Kim Ngọc Anh,These ads ran without a disclaimer,25385
111267731617802,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,21870
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,9789
113899670306066,Poljot Int VN,These ads ran without a disclaimer,4580
100501456174615,Kho Tàng Sách Cổ Xưa,These ads ran without a disclaimer,3070
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,2703
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,640
108685817326606,Truther Piece Official,These ads ran without a disclaimer,608
1433703283355526,Tủ Sách Pháp Luật,These ads ran without a disclaimer,106
103034068547820,Xuất khẩu lao động Du học Nhật,These ads ran without a disclaimer,≤100
109789038504925,جمعیت اہلحدیث  پاکستان,These ads ran without a disclaimer,≤100
