Page ID,Page name,Disclaimer,Amount spent (VND)
101424825544768,Cử nhân trực tuyến TVU - ONSCHOOL,These ads ran without a disclaimer,1633
106649512163916,"Trung Tâm  Điều trị U Xơ, U Nang, U Tuyến Giáp-0923.697.484",These ads ran without a disclaimer,863
919479674872321,Báo Nghệ An,Báo Nghệ An,417
107403055247226,Bitu - Giao Tiếp Tiếng Anh 5.0,These ads ran without a disclaimer,403
111831663772285,BOMvn,BOMvn,357
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,340
101865258169428,ĐEN Secondhand,ĐEN Secondhand,≤100
106994278911120,JP&US Chuyên Hàng Chính Hãng,These ads ran without a disclaimer,≤100
106918888863637,Veterinary Sciences MDPI,These ads ran without a disclaimer,≤100
1625350890913575,Viettel Solutions,These ads ran without a disclaimer,≤100
