Page ID,Page name,Disclaimer,Amount spent (HUF)
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,21844
109637397268775,Nyugati Pályán,Splendidea Communications Kft,16393
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,11869
543788999005363,ORIGO,Mediaworks Hungary Zrt.,6461
128596180810227,Stefi Déri,Megafon,5540
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,4935
248172631940,Mandiner,Mediaworks Hungary Zrt.,4634
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,4557
109414841321682,Magyar Falu Program,Magyar Falu Program,4494
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,3240
120370174702378,Magyarország Kormánya,Magyarország Kormánya,2379
451844608304228,Metropol,Metropol,2328
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,2112
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,1917
114898003640430,Telex.hu,Telex.hu,1886
1534911313439123,Ripost,Ripost,1767
594088897289853,Alapjogokért Központ,Alapjogokért Központ,1638
776079922494181,Apáti Bence hivatalos oldala,Megafon,1581
100299381703981,Ps TV,PestiSrácok.hu,1579
191461774219575,hirado.hu,hirado.hu,1551
102414628645144,Korondy Tamás,Megafon,1327
1880809845328535,Dobrev Klára,Demokratikus Koalíció,1169
110044873939739,Rehó János,Rehó János,1144
178362315106,European Parliament,European Parliament,1137
264517713636590,PestiSracok.hu,PestiSrácok.hu,964
118152054556475,Deák Dániel,Megafon,952
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,940
110462711892232,DK TV,Demokratikus Koalíció,839
108346693873484,Győrffy Balázs,Balazs Gyorffy,815
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,601
345496092135627,Hír TV,Mediaworks Hungary Zrt.,576
294815374340858,Donáth Anna,Momentum Mozgalom,540
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,536
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,518
76748198685,Budapest Pride,Budapest Pride,509
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,441
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,431
131283758531,HVG,HVG Kiadó ZRt.,429
108248022589754,Bosch Magyarország,Bosch Magyarország,425
112677144392091,Dr. Pajtók Gábor,FIDESZ,423
520814838255629,Agapé Gyülekezetek Közössége,Agapé Gyülekezetek Közössége,400
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,400
1722969024662464,Civil Összefogás Fórum,Civil Összefogás Fórum,393
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,375
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,357
100401808007704,EzaLényeg.hu,EzaLényeg.hu,331
623719727672871,Nestlé,Nestlé Hungária Kft.,331
1215492498464496,Angyal Károly,Angyal Károly Tibor,315
447204268797621,RTL.hu,RTL.HU,313
735736549957756,G7.hu,G7.hu Nonprofit Zrt.,287
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,280
611728525606243,CIB Bank,CIB Bank Zrt.,274
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,273
162344823835042,atlatszo.hu,Átlátszónet Alapítvány,241
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,238
221761091331222,Danube Institute,Danube Institute,225
110492499001,Labrisz Leszbikus Egyesület,Labrisz Leszbikus Egyesület,219
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,215
102426795954406,Nobilis Márton,Nobilis Márton,214
438674070213065,Magyar Állampapír,Magyar Állampapír,206
537817739693723,Brain Bar,Brain Bar,205
105774734948091,Hungarian Conservative,Hungarian Conservative,203
110056758082933,Mihálffy Béla,Béla Mihálffy,196
103478164920832,Rubicon Intézet,Rubicon Intézet,194
851784814892644,Simicskó István,KDNP frakció,191
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,188
149061108240,Kocsis Máté,Fidesz frakció,188
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,183
457609140942597,Baptista Tevékeny Szeretet Misszió - BTESZ,Baptista Tevékeny Szeretet Misszió,183
294815374340858,Donáth Anna,Donáth Anna - Momentum,181
1237616006358749,Kékes Online,Kékes Online,175
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,173
887921287887805,Király Nóra,Király Nóra,173
211156277497,WWF Hungary,WWF Hungary,168
109400335280737,Dóka Milán,Milán Dóka,160
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,157
206829842043,Rétvári Bence,Rétvári Bence,155
222720184518334,Font Sándor,Font Sándor,148
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,139
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,135
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",126
243470906428319,Juhász Hajnalka,Juhász Hajnalka,126
210242349159177,EU-SOLAR,These ads ran without a disclaimer,124
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,120
76945222898,Startlap,Central Médiacsoport Zrt.,114
92932085233,TASZ,TASZ,111
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,106
101508528866981,Fehérvár a Miénk,Fehérvár a miénk,105
1408906262689093,Nyitrai Zsolt,Fidesz,103
278992483155,Tordai Bence,Párbeszéd Magyarországért,101
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,≤100
1239893846155692,Tompos Márton,Momentum Mozgalom,≤100
1926735160968885,Válasz Online,Válasz Online,≤100
408924035951553,Körforrás,Körforrás,≤100
876772425797119,Hölvényi György,Hölvényi György,≤100
102474542009609,Megafilm,MEGA FILM Kft.,≤100
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,≤100
128573907819549,Fekete-Győr András,Momentum Mozgalom,≤100
1357776460950406,Reaktor,Reaktor Alapítvány,≤100
196523737056247,NESCAFÉ,Nestlé Hungária Kft.,≤100
1869511526651884,Zsigmond Barna Pál,Fidesz,≤100
510078013063912,Rózsa László Péter,Rózsa László Péter,≤100
85568463466,Mérce,Mérce,≤100
177477379482620,MKKP BP XII. kerület,Magyar Kétfarkú Kutya Párt,≤100
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,≤100
113375923695023,Fidesz Budapest,Fidesz Budapest,≤100
112694594992064,Mehr Licht,Mehr Licht,≤100
102989522035144,Szent István Intézet,Szent István Intézet,≤100
107123677458699,Külpologika,Tamás Novák,≤100
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,≤100
270300439972751,Szemlélek,Szemlélek Alapítvány,≤100
127539005484626,Very Important Planet,thevip.hu,≤100
142040742531064,Tudatos Vásárlók Egyesülete,Tudatos Vásárlók Egyesülete,≤100
226496874112243,BULÁKE,BULÁKE,≤100
186937904681332,Szabó Rebeka,Párbeszéd Magyarországért Párt,≤100
150836998898897,aHang,aHang,≤100
202099276507678,24.hu,24.hu,≤100
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,≤100
102474413201956,Life&Body,These ads ran without a disclaimer,≤100
230314307098155,Patent Egyesület,PATENT Egyesület,≤100
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,≤100
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,≤100
104958058734636,Bekezdések,Nagy Áron,≤100
267882727864,Kubatov Gábor,Fidesz,≤100
164978926850719,Kommentár folyóirat,Kommentár folyóirat,≤100
144606418883602,MAGOSZ,Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége,≤100
104120465115094,Schaller-Baross Ernő,Schaller-Baross Ernő,≤100
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,≤100
115050303274279,Horváth Soma,Horváth Soma Àdám,≤100
109684877069674,Borsi Róbert,Borsi Róbert,≤100
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,≤100
101040961353702,Temesvári Szilvia,Temesvári Szilvia Benedetta,≤100
2322801981324266,Óbudai hírek,Óbudai Hírek,≤100
102384608623743,CreativeSolar,CreativeSolar,≤100
286146221590937,Direkt36,Direkt36,≤100
106963942072063,Halász Noémi,Halász Noémi,≤100
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,≤100
106419404092005,HEGY,Hajnal egyesület Gyömrőért - HEGY,≤100
320701218553533,Alternatíva Párt,Alternatíva párt,≤100
197203437879379,Szaniszló Sándor,Szaniszló Sándor,≤100
18562323874,Élet és Irodalom,Székely János,≤100
104289962125266,Sümegi Szó,Sümegi Szó,≤100
102304352536605,begreen.hu,These ads ran without a disclaimer,≤100
320645820787,Haszon magazin,Haszon magazin,≤100
183723231644096,Szita Károly,Szita Károly,≤100
694941900537141,Ágh Péter,Fidesz,≤100
1867333200197695,Messer Hungarogáz,Messer Hungarogáz,≤100
1065713933504228,Új Egyenlőség,Új Egyenlőség,≤100
114352718583668,nb1.hu,These ads ran without a disclaimer,≤100
264210363649459,Élő Norbert,Élő Norbert,≤100
1789173414684385,Szukits.hu Könyváruház,These ads ran without a disclaimer,≤100
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,≤100
191815250903223,"Kondoros - Hírek, képek és videók a múltból és a jelenből",Oláh Péter Szabolcs,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
839249709578255,CrowdFarming,These ads ran without a disclaimer,≤100
108805425121705,Twinkle Y,These ads ran without a disclaimer,≤100
104113425861099,V Chiryassov,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
