Page ID,Page name,Disclaimer,Amount spent (AED)
102217772802527,Bay Area Times,These ads ran without a disclaimer,136
107057467569973,Buyluggageonline,These ads ran without a disclaimer,≤100
189875908368820,Alexandra Climent,These ads ran without a disclaimer,≤100
112026485103443,مخـــااوي االسهــــر,These ads ran without a disclaimer,≤100
2107526142866740,ایرانیان امارات,These ads ran without a disclaimer,≤100
267387670017944,City University Ajman,These ads ran without a disclaimer,≤100
105575821194081,Al Shindagha Museum,These ads ran without a disclaimer,≤100
117095434658394,أصل العقيق لإنجاز المعاملات الحكومية إلكترونيآ,These ads ran without a disclaimer,≤100
113563265092894,Engrave It,These ads ran without a disclaimer,≤100
100473238262224,Energy News - أخبار البترول والطاقة,These ads ran without a disclaimer,≤100
111113447867154,The Daily Dose,These ads ran without a disclaimer,≤100
111693858594469,stocken_ar,These ads ran without a disclaimer,≤100
