Page ID,Page name,Disclaimer,Amount spent (GTQ)
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
268285610002238,FCN Nación,FCN Nación,≤100
110226594945647,Partido BIEN,Partido BIEN,≤100
331961940541181,Partido Victoria,Partido Político Victoria,≤100
161800283848513,CREO,CREO,≤100
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,≤100
102762215788405,VOS.gt,VOS.gt,≤100
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,≤100
105946259158286,Arias Consultores Guatemala,Arias Consultores,≤100
436246383083297,TODOS,TODOS,≤100
111055994050917,E-data,E-data,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
312457492980456,Opinión Gt,Opinión Gt,≤100
377807776194425,Los Indignados,Los Indignados,≤100
744048319050593,Partido Humanista de Guatemala -PHG-,Partido Humanista de Guatemala -PHG-,≤100
341441999835173,La Plaza 2015,La Plaza 2015,≤100
2363255300363966,Informativo Guate,Informativo Guate,≤100
101372268406640,Unión Republicana,Unión Republicana,≤100
110582257361172,Partido Azul,Partido Azul,≤100
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100
116255971414800,Política Migración,Política Migración,≤100
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100
1849068175149032,Movimiento Político WINAQ,Movimiento Político WINAQ,≤100
249889355058521,Red Ciudadana,Red Ciudadana,≤100
196258110831945,Partido Valor,Partido Valor,≤100
127324563607442,Emerson García,Emerson García,≤100
100393489608783,Podemos- San Andrés Xecul,These ads ran without a disclaimer,≤100
102060516234558,El Pulso de Guatemala,El Pulso Guatemala,≤100
1612828795636861,Movimiento Semilla,Movimiento Semilla,≤100
105685841067405,Alianza Global de Jóvenes Políticos Guatemala,Alianza Global de Jóvenes Políticos Guatemala,≤100
113200171657649,Humanista Cobán,These ads ran without a disclaimer,≤100
107584228271314,Asociación Política de Mujeres Mayas Moloj,These ads ran without a disclaimer,≤100
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,≤100
105661345802501,Partido político Victoria Huehue,Partido político Victoria Huehue,≤100
281554395331686,República,"Republica GT, S.A.",≤100
765790550460228,Comité Cívico Justicia,Comité Cívico Justicia,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
324014361275123,ETprojectMusic,These ads ran without a disclaimer,≤100
