Page ID,Page name,Disclaimer,Amount spent (LBP)
1428873024044736,المدن - almodon,المدن - almodon‎,60150
1744356319118477,هنا لبنان,هنا لبنان,46767
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,46617
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,30075
117345834653901,This is Beirut,This is Beirut,30075
102023711572671,أساس ميديا -  Asas Media,Asas Media,23008
112056958469490,SPI Lebanon,SPI Lebanon,15038
100991666100720,Mazemark Boutique Agency,These ads ran without a disclaimer,15038
110470091436602,Ici Beyrouth,Ici beyrouth,8722
154082608508694,محمد صابونجي,محمد صابونجي,≤100
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,≤100
164267520267912,LebanonFiles.com (Live News From Lebanon),LebanonFiles.com (Live News From Lebanon),≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,≤100
2082052578716332,محمد شفيق حمود,Arab Window,≤100
278035695547539,Legal Agenda  المفكرة القانونية,legal Agenda,≤100
106197498149118,لبنان الكبير,Grand Lebanon,≤100
236763870334042,Lebanese Daily,Lebanese Daily,≤100
116433386467652,الشريف سليمان,الشريف سليمان,≤100
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,≤100
113414308041611,Great Arab Minds,These ads ran without a disclaimer,≤100
123458990728979,maharat_training_center1,These ads ran without a disclaimer,≤100
1502687013388650,Media Factory News,These ads ran without a disclaimer,≤100
2509759842418472,LebTalks,Lebtalks,≤100
