Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,9338
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,8285
65929129383,Røde Kors,Røde Kors,3984
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3671
12860228293,Politiken,Politiken,3636
59143726810,Psykiatrifonden,Psykiatrifonden,2476
26458152911,SOS Børnebyerne,SOS Børnebyerne,2022
250994288337708,Sex og Samfund,Sex og Samfund,1824
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,1448
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1391
41459763029,Socialdemokratiet,Socialdemokratiet,1363
55365680705,Greenpeace Danmark,Greenpeace Danmark,1271
12787473132,Berlingske,Berlingske,1268
110321008383861,Red Barnets landsindsamling,Red Barnet,1181
105511328705392,HØRT,Børns Vilkår,1150
20303574131,Nationalmuseet,Nationalmuseet,1060
116269191760882,DSB,DSB,1055
122074554119,EU Social,EU Social,944
399210657232918,PlanBørnefonden,PlanBørnefonden,850
867877683280051,Weekendavisen,Weekendavisen,823
154415494575789,IDA,IDA,795
671022293105597,Alex Vanopslagh,Alex Vanopslagh,725
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,660
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,572
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,562
320982581296484,TV 2 Play,TV 2 Danmark A/S,500
110560691837684,SolCompagniet,SolCompagniet,493
72672361910,Børns Vilkår,Børns Vilkår,451
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,428
104414898912918,GOTO Sønderborg,GOTO Sønderborg,428
126543540781090,Ældre Sagen,Ældre Sagen,413
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,388
304554445813,Videncentret Bolius,Videncentret Bolius,387
437410226312057,Københavns Kommune,Københavns Kommune,363
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,355
257480614286065,Den Sorte Diamant - Det Kgl. Bibliotek,Det Kgl. Bibliotek,344
852608988134698,Tikko,Tikko,316
102154048301476,Lederstof.dk,Lederne,311
369336273158091,Land of Hope,Land of Hope,280
36664432940,Amnesty International Danmark,Amnesty International Danmark,279
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,261
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,260
314676938743,DM din akademiske fagforening,DM,256
130388840342741,Danske Bank,Danske Bank,250
238109072966783,Frederiks Kirke - Marmorkirken,These ads ran without a disclaimer,232
167891603415958,Lederne,Lederne,226
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,198
144965885963,Oxfam Danmark,Oxfam Danmark,198
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,197
133707013355759,Danner,Danner,196
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,194
246977185497434,Plastic Change,Plastic Change,191
748887235210811,Obton Forvaltning A/S,Obton A/S,185
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,181
304554445813,Videncentret Bolius,Bolius,179
287306323369,Børnecancerfonden,Børnecancerfonden,176
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,162
1704424023182897,Politiken Historie,Politiken Historie,149
1405355586351630,Carlsbergfondet,Carlsbergfondet,144
356520931077196,Europabevægelsen,Europabevægelsen,142
67571270393,Red Barnet,Red Barnet,141
359674067377201,BUPL,BUPL,137
153708144675646,PFA,PFA,134
181330585392156,Skattestyrelsen,Skattestyrelsen,125
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,120
529124290474705,Nikolaj Villumsen,Enhedslisten,102
114852934887454,Energivejlederen,These ads ran without a disclaimer,≤100
167887506877,AIDS-Fondet,AIDS-Fondet,≤100
194452460650048,Global Aktion,Global Aktion,≤100
180519405977219,Frederiksværk Krisecenter,Frederiksværk Krisecenter,≤100
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",≤100
246097715413231,Alkohol & Samfund,Alkohol & Samfund,≤100
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,≤100
192783424152018,Socialistisk Information,Socialistisk Information,≤100
141140922630894,RED Center,RED Center,≤100
186645960378,Danwatch,Danwatch,≤100
112787768754000,Tranquebar Bookshop,These ads ran without a disclaimer,≤100
239624940212,HK Kommunal,HK Kommunal,≤100
101875815016312,Caroline Victoria Christensen,Caroline Victoria Christensen,≤100
657491824390744,Spring Copenhagen,Spring Copenhagen,≤100
107898832590939,European Commission,European Commission,≤100
1427831394175028,Mælken.dk,Mælken.dk,≤100
341299649231023,Zetland,Zetland,≤100
217135424459,Karen Blixen Museum,Karen Blixen Museum,≤100
495897290562507,Fagbladet 3F,Fagbladet 3F,≤100
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,≤100
174887643104,Sisse Marie Welling,SF København,≤100
107321098977584,Elisa Rimpler,BUPL,≤100
144098125661833,Nordea Invest,Nordea Invest,≤100
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,≤100
264009771074617,Niels Fuglsang,Niels Fuglsang,≤100
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,≤100
1402609546691566,Miljøpunkt Nørrebro,Miljøpunkt Nørrebro,≤100
494902077334290,Tuborgfondet,Tuborgfondet,≤100
322117934560128,Mikael Wandel,Mikael Wandel,≤100
1522666927799763,BCG in Denmark,Boston Consulting Group,≤100
294885907302040,AdResult - Vi skaber online resultater,AdResult ApS,≤100
98486774725,Djøf,Djøf,≤100
74796954245,SF,SF,≤100
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,≤100
177588925606965,Landsforeningen for Bæredygtigt Landbrug,Landsforeningen for Bæredygtigt Landbrug,≤100
880444655649267,Rasmus Steenberger,Rasmus Steenberger,≤100
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,≤100
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,≤100
708245239243699,Dansk Beton,Dansk Beton,≤100
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,≤100
103369033067277,Miljøbevægelsen NOAH,NOAH,≤100
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,≤100
106952222676974,Liberal Alliance,Liberal Alliance,≤100
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100
106289989124233,Verdenspressen,Verdenspressen,≤100
102472071927163,Simon Bauer - Soc.Dem.,Simon Bauer - Soc.Dem.,≤100
210504535637033,home a/s,These ads ran without a disclaimer,≤100
134531969945616,Folkebevægelsen mod EU,Folkebevægelsen mod EU,≤100
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Andkjær Doberck Nye Borgerlige,≤100
107575374711850,SAGA DK,Saga,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
213461659232038,Marianne Bigum,SF,≤100
297422283612612,TotalEnergies,TotalEnergies,≤100
1760422470838648,AAU Energi,These ads ran without a disclaimer,≤100
143034115756942,Merkur Andelskasse,Merkur Andelskasse,≤100
29097589538,Årsskriftet Critique,Årsskriftet Critique,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
213461659232038,Marianne Bigum,These ads ran without a disclaimer,≤100
178362315106,European Parliament,European Parliament,≤100
297422283612612,TotalEnergies,These ads ran without a disclaimer,≤100
550512865030230,Promissio,Promissio,≤100
1856611447688498,Naturli,These ads ran without a disclaimer,≤100
107586311767908,Delicacy Estate,These ads ran without a disclaimer,≤100
243765466796,Vejle Kommune,Vejle Kommune,≤100
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,≤100
119521264725553,Q21,These ads ran without a disclaimer,≤100
6115848166,Nature Portfolio,These ads ran without a disclaimer,≤100
106270215428,Wix,These ads ran without a disclaimer,≤100
106969792009830,ZJdob4,These ads ran without a disclaimer,≤100
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100
110410464882233,My Dream World,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,≤100
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
111809951518975,Happy Cure,These ads ran without a disclaimer,≤100
108569015081606,Reflection Pure,These ads ran without a disclaimer,≤100
100112796084881,Futbolete - Page 4,These ads ran without a disclaimer,≤100
