Page ID,Page name,Disclaimer,Amount spent (HNL)
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
643513979193133,Justicia para Beatriz,Neuma,≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
107510448492680,Conjuros y amarres de amor,These ads ran without a disclaimer,≤100
1047750315359377,Tato Loucel,Edgardo  Hernan Loucel Aguilera,≤100
116704324641637,Fundacion De Búsqueda Y Rescate De Migrantes,These ads ran without a disclaimer,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,≤100
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,≤100
101841301686317,Marian Capriles Realtor in Orlando,These ads ran without a disclaimer,≤100
