Page ID,Page name,Disclaimer,Amount spent (KES)
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,139
362328664703,Start Talking Kenya,Well Made Strategy,≤100
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,≤100
104015599403485,Baba Natalia,These ads ran without a disclaimer,≤100
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,≤100
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,≤100
1400771023469241,Anne Waiguru,Anne Waiguru,≤100
106949005561867,Benjamilnho Mutua Drasta,These ads ran without a disclaimer,≤100
1506723769658512,Susan Kihika,Susan Kihika,≤100
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,≤100
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100
102090748246550,Hon. Charles Chweya Matoke,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
105920381249279,Vaulting Daily Auto,These ads ran without a disclaimer,≤100
