Page ID,Page name,Disclaimer,Amount spent (GTQ)
196258110831945,Partido Valor,Partido Valor,598
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,323
161800283848513,CREO,CREO,313
110226594945647,Partido BIEN,Partido BIEN,292
331961940541181,Partido Victoria,Partido Político Victoria,219
102762215788405,VOS.gt,VOS.gt,126
1612828795636861,Movimiento Semilla,Movimiento Semilla,122
106906785360928,PARTIDO CAMBIO,PARTIDO CAMBIO,111
414127029025760,CABAL,CABAL,104
187073013532,Partido VIVA,Partido Visión con Valores,≤100
268285610002238,FCN Nación,FCN Nación,≤100
101372268406640,Unión Republicana,Unión Republicana,≤100
110582257361172,Partido Azul,Partido Azul,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
109189810962889,Comunidad Elefante,Comunidad Elefante,≤100
104363285138486,Nosotros Guatemala,Partido Político Nosotros,≤100
468114850661437,Noticias guate,Noticias guate,≤100
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,≤100
174740409237665,TSE Guatemala,TSE Guatemala,≤100
142556265766634,Guatemala Visible,Guatemala Visible,≤100
2363255300363966,Informativo Guate,Informativo Guate,≤100
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,≤100
122577984102328,Cotilleo,Cotilleo,≤100
1849068175149032,Movimiento Político WINAQ,Movimiento Político WINAQ,≤100
436246383083297,TODOS,TODOS,≤100
111314650348631,Ahora Sí Guatemala,Ahora Sí Guatemala,≤100
281554395331686,República,"Republica GT, S.A.",≤100
101555919274873,Mi Familia,Mi Familia,≤100
101692028646792,El Chisme Guate,El Chisme Guate,≤100
744048319050593,Partido Humanista de Guatemala -PHG-,Partido Humanista de Guatemala -PHG-,≤100
110342054463001,Mientras tanto en Guate,Mientras tanto en Guate,≤100
111055994050917,E-data,E-data,≤100
105685841067405,Alianza Global de Jóvenes Políticos Guatemala,Alianza Global de Jóvenes Políticos Guatemala,≤100
353485527057,Manuel Antonio Baldizón,These ads ran without a disclaimer,≤100
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,≤100
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100
106555824384543,Detrás de la Política,Detrás de la Política,≤100
109312665510690,Politica Chapin,Politica Chapin,≤100
312457492980456,Opinión Gt,Opinión Gt,≤100
124187513936178,Denuncia Chapín,Denuncia Chapín,≤100
100747189646660,Política a la Tortrix,Política a la Tortrix,≤100
102490342357338,Byron Geovanny Orellana Orellana,Byron Geovanny Orellana Orellana,≤100
127019003713574,Bukelistas Guate,Bukelistas Guate,≤100
195909230476243,CONADI GUATEMALA,CONADI GUATEMALA,≤100
2205029029532409,Peten Vota Consciente Y Decide,Peten Vota Consciente Y Decide,≤100
105805305625744,,VALOR San Antonio La Paz,≤100
108748214736261,Partido Republicano -PR-,Partido Republicano -PR-,≤100
105602585885874,La Corte de los Chapines,La Corte de los Chapines,≤100
105661345802501,Partido político Victoria Huehue,Partido político Victoria Huehue,≤100
102764015939243,Rosario Menéndez,Rosario Menéndez,≤100
111949081919208,GuaTelevision,GuaTelevision,≤100
1404730796454217,Paz Joven Guatemala,Paz Joven Guatemala,≤100
101783548637407,Antigua News,Antigua News,≤100
379424505547,OACNUDH - Guatemala,Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos en Guatemala,≤100
304499560287545,Mariano Portillo,These ads ran without a disclaimer,≤100
2244376355827322,No más corruptos,These ads ran without a disclaimer,≤100
115808381519839,Los Niños de Mulet,Los ninos de mulet,≤100
127324563607442,Emerson García,Emerson García,≤100
1882597935332956,Partido VAMOS,These ads ran without a disclaimer,≤100
101725222007513,Mixco No Es Un Chiste,Mixco No Es Un Chiste,≤100
109494025515376,Servando Yes Cuyotenango,These ads ran without a disclaimer,≤100
605765753092690,Alianza por la Auditoria Social San Marcos,These ads ran without a disclaimer,≤100
118547191208813,Noti  Perla Econidida Cuilco,These ads ran without a disclaimer,≤100
313343692104320,Resistencia y Liberación,These ads ran without a disclaimer,≤100
439669373244263,Yo APOYO A SUGER,Yo APOYO A SUGER,≤100
117622244670758,Celeste Hamm,Celeste Hamm,≤100
2566080786769905,HIBS,These ads ran without a disclaimer,≤100
100787018649683,Más Media,Más Media,≤100
100581485203180,elbencho.gt,These ads ran without a disclaimer,≤100
123779673961496,Chimaltenango Informa,These ads ran without a disclaimer,≤100
111981251923378,,These ads ran without a disclaimer,≤100
106046418877955,GuateNoticias,GuateNoticias,≤100
116740217976587,Bartolomé Chocoj Camey,Bartolomé Chocoj Camey,≤100
135019416549522,La Hora,La Hora,≤100
107592792281275,Valor Nentón,Valor Nentón,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
298696726936594,Senacyt/concyt,These ads ran without a disclaimer,≤100
