Page ID,Page name,Disclaimer,Amount spent (HUF)
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,20848
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,15103
109637397268775,Nyugati Pályán,Splendidea Communications Kft,14645
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,14255
543788999005363,ORIGO,Mediaworks Hungary Zrt.,6056
128596180810227,Stefi Déri,Megafon,4890
248172631940,Mandiner,Mediaworks Hungary Zrt.,4514
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,4325
109414841321682,Magyar Falu Program,Magyar Falu Program,3747
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,3053
120370174702378,Magyarország Kormánya,Magyarország Kormánya,2244
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,2229
451844608304228,Metropol,Metropol,2068
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,1870
114898003640430,Telex.hu,Telex.hu,1852
503752419992103,Sebők Éva,Momentum Mozgalom,1759
594088897289853,Alapjogokért Központ,Alapjogokért Központ,1733
1534911313439123,Ripost,Ripost,1705
102414628645144,Korondy Tamás,Megafon,1495
776079922494181,Apáti Bence hivatalos oldala,Megafon,1454
100299381703981,Ps TV,PestiSrácok.hu,1427
191461774219575,hirado.hu,hirado.hu,1424
178362315106,European Parliament,European Parliament,1273
1880809845328535,Dobrev Klára,Demokratikus Koalíció,1136
118152054556475,Deák Dániel,Megafon,1118
292787761246129,Herczeg Tamás,Fidesz,970
264517713636590,PestiSracok.hu,PestiSrácok.hu,885
108346693873484,Győrffy Balázs,Balazs Gyorffy,875
110462711892232,DK TV,Demokratikus Koalíció,833
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,788
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,623
345496092135627,Hír TV,Mediaworks Hungary Zrt.,619
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,619
294815374340858,Donáth Anna,Momentum Mozgalom,522
76748198685,Budapest Pride,Budapest Pride,512
131283758531,HVG,HVG Kiadó ZRt.,470
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,462
1722969024662464,Civil Összefogás Fórum,Civil Összefogás Fórum,401
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,389
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,364
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,353
103949707619177,Opauszki Zoltán,Opauszki Zoltán,350
108248022589754,Bosch Magyarország,Bosch Magyarország,344
520814838255629,Agapé Gyülekezetek Közössége,Agapé Gyülekezetek Közössége,341
457609140942597,Baptista Tevékeny Szeretet Misszió - BTESZ,Baptista Tevékeny Szeretet Misszió,324
623719727672871,Nestlé,Nestlé Hungária Kft.,310
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,302
611728525606243,CIB Bank,CIB Bank Zrt.,300
447204268797621,RTL.hu,RTL.HU,298
100401808007704,EzaLényeg.hu,EzaLényeg.hu,295
735736549957756,G7.hu,G7.hu Nonprofit Zrt.,292
112677144392091,Dr. Pajtók Gábor,FIDESZ,280
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,272
221761091331222,Danube Institute,Danube Institute,264
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,259
162344823835042,atlatszo.hu,Átlátszónet Alapítvány,258
102426795954406,Nobilis Márton,Nobilis Márton,252
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,243
222720184518334,Font Sándor,Font Sándor,233
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,232
110056758082933,Mihálffy Béla,Béla Mihálffy,230
191815250903223,"Kondoros - Hírek, képek és videók a múltból és a jelenből",Oláh Péter Szabolcs,222
1215492498464496,Angyal Károly,Angyal Károly Tibor,215
537817739693723,Brain Bar,Brain Bar,200
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,196
887921287887805,Király Nóra,Király Nóra,186
149061108240,Kocsis Máté,Fidesz frakció,183
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,178
438674070213065,Magyar Állampapír,Magyar Állampapír,177
851784814892644,Simicskó István,KDNP frakció,174
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,173
103478164920832,Rubicon Intézet,Rubicon Intézet,156
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,150
211156277497,WWF Hungary,WWF Hungary,145
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,140
76945222898,Startlap,Central Médiacsoport Zrt.,133
247563431962015,tiszatajonline.hu,Tiszatájonline.hu szerkesztősége,130
109400335280737,Dóka Milán,Milán Dóka,127
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,124
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,122
105774734948091,Hungarian Conservative,Hungarian Conservative,120
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,114
206829842043,Rétvári Bence,Rétvári Bence,113
101508528866981,Fehérvár a Miénk,Fehérvár a miénk,109
243470906428319,Juhász Hajnalka,Juhász Hajnalka,106
92932085233,TASZ,TASZ,102
1239893846155692,Tompos Márton,Momentum Mozgalom,≤100
1926735160968885,Válasz Online,Válasz Online,≤100
278992483155,Tordai Bence,Párbeszéd Magyarországért,≤100
408924035951553,Körforrás,Körforrás,≤100
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,≤100
1357776460950406,Reaktor,Reaktor Alapítvány,≤100
1408906262689093,Nyitrai Zsolt,Fidesz,≤100
876772425797119,Hölvényi György,Hölvényi György,≤100
1869511526651884,Zsigmond Barna Pál,Fidesz,≤100
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",≤100
128573907819549,Fekete-Győr András,Momentum Mozgalom,≤100
196523737056247,NESCAFÉ,Nestlé Hungária Kft.,≤100
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,≤100
510078013063912,Rózsa László Péter,Rózsa László Péter,≤100
177477379482620,MKKP BP XII. kerület,Magyar Kétfarkú Kutya Párt,≤100
127539005484626,Very Important Planet,thevip.hu,≤100
85568463466,Mérce,Mérce,≤100
107123677458699,Külpologika,Tamás Novák,≤100
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,≤100
226496874112243,BULÁKE,BULÁKE,≤100
102474542009609,Megafilm,MEGA FILM Kft.,≤100
186937904681332,Szabó Rebeka,Párbeszéd Magyarországért Párt,≤100
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,≤100
286146221590937,Direkt36,Direkt36,≤100
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,≤100
102989522035144,Szent István Intézet,Szent István Intézet,≤100
144606418883602,MAGOSZ,Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége,≤100
270300439972751,Szemlélek,Szemlélek Alapítvány,≤100
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,≤100
112694594992064,Mehr Licht,Mehr Licht,≤100
104289962125266,Sümegi Szó,Sümegi Szó,≤100
210242349159177,EU-SOLAR,These ads ran without a disclaimer,≤100
102474413201956,Life&Body,These ads ran without a disclaimer,≤100
202099276507678,24.hu,24.hu,≤100
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,≤100
104958058734636,Bekezdések,Nagy Áron,≤100
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,≤100
267882727864,Kubatov Gábor,Fidesz,≤100
230314307098155,Patent Egyesület,PATENT Egyesület,≤100
109684877069674,Borsi Róbert,Borsi Róbert,≤100
320645820787,Haszon magazin,Haszon magazin,≤100
150836998898897,aHang,aHang,≤100
104120465115094,Schaller-Baross Ernő,Schaller-Baross Ernő,≤100
113375923695023,Fidesz Budapest,Fidesz Budapest,≤100
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,≤100
694941900537141,Ágh Péter,Fidesz,≤100
115050303274279,Horváth Soma,Horváth Soma Àdám,≤100
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,≤100
2322801981324266,Óbudai hírek,Óbudai Hírek,≤100
101040961353702,Temesvári Szilvia,Temesvári Szilvia Benedetta,≤100
142040742531064,Tudatos Vásárlók Egyesülete,Tudatos Vásárlók Egyesülete,≤100
106963942072063,Halász Noémi,Halász Noémi,≤100
320701218553533,Alternatíva Párt,Alternatíva párt,≤100
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,≤100
18562323874,Élet és Irodalom,Székely János,≤100
110492499001,Labrisz Leszbikus Egyesület,Labrisz Leszbikus Egyesület,≤100
264210363649459,Élő Norbert,Élő Norbert,≤100
197203437879379,Szaniszló Sándor,Szaniszló Sándor,≤100
164978926850719,Kommentár folyóirat,Kommentár folyóirat,≤100
110044873939739,Rehó János,Rehó János,≤100
1065713933504228,Új Egyenlőség,Új Egyenlőség,≤100
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,≤100
1867333200197695,Messer Hungarogáz,Messer Hungarogáz,≤100
132095976818873,EgészségKalauz,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
839249709578255,CrowdFarming,These ads ran without a disclaimer,≤100
