Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
102860779377395,Само кажувам,Само кажувам,≤100
192483774872658,Демократи,Демократи,≤100
164829683652900,Faktor.mk,Faktor.mk,≤100
324459714339171,Civil MK,Civil MK,≤100
1465978237037042,Ivon Velichkovski,Ivon Veličkovski,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
