Page ID,Page name,Disclaimer,Amount spent (BOB)
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
222490514559847,Comunicación del Estado Plurinacional de Bolivia,These ads ran without a disclaimer,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
128123870725,Samuel Doria Medina,Samuel Doria Medina,≤100
101201822726231,Litigium - Escuela Jurídica,These ads ran without a disclaimer,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
101014104885737,Juan Carlos Medrano,Daniel Choque Mamani,≤100
636958269681223,Mauricio Lea Plaza P.,Mauricio Adolfo Lea Plaza Peláez,≤100
331406083686277,Vladimir Peña,Vladimir Ariel Peña Virhuez,≤100
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100
127871740620547,Agustín Zambrana en El Bunker,Walter Agustin Zambrana Arze,≤100
588006651225919,Pierre Dulanto,These ads ran without a disclaimer,≤100
654861744567731,Grupo Danec,These ads ran without a disclaimer,≤100
