Page ID,Page name,Disclaimer,Amount spent (GTQ)
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,335
331961940541181,Partido Victoria,Partido Político Victoria,279
414127029025760,CABAL,CABAL,211
196258110831945,Partido Valor,Partido Valor,155
198024350759004,Rudy Guzmán,Rudy Guzmán,≤100
110226594945647,Partido BIEN,Partido BIEN,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,≤100
110582257361172,Partido Azul,Partido Azul,≤100
187073013532,Partido VIVA,Partido Político Visión con Valores,≤100
104459661292913,Noticias San Miguel Ixtahuacán,Jennifer Lopez,≤100
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,≤100
103825294800306,Diario Guatemala,Sonny Rafael Gonzalez Paniagua,≤100
122577984102328,Cotilleo,Cotilleo,≤100
100373105041599,Noticias Sipacapa,Jennifer Lopez,≤100
109663920767127,Noticias Comitancillo,Jennifer Lopez,≤100
1552532851481889,Buckner Guatemala,Buckner Guatemala,≤100
122851700741399,Correr la bola,Correr la bola,≤100
109293990804478,Noticias Ixchiguán,Jennifer Lopez,≤100
104198917984643,Noticias Concepción Tutuapa,Jennifer Lopez,≤100
111035383962426,Noticias Tacaná,Jennifer Lopez,≤100
103222091419273,Noticias San José Ojetenam,Jennifer Lopez,≤100
643513979193133,Justicia para Beatriz,Neuma,≤100
102359978173169,Noticias San Lorenzo S.M.,Jennifer Lopez,≤100
120022507675808,Página que te avisa si Edmond Mulet ya Murió,Página que te avisa si Edmond,≤100
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100
101486344928292,Noticias Sibinal,Jennifer Lopez,≤100
107967548918085,Izquierda GT,Izquierda GT,≤100
120436067618344,La presidenta,La presidenta,≤100
119774411035856,Zury Sama,Zury Sama,≤100
123752213957960,Lo que Sandra se llevó,Lo que Sandra se llevó,≤100
122916017388418,Salamandra Torres,Salamandra Torres,≤100
100747189646660,Política a la Tortrix,Política a la Tortrix,≤100
101195172935082,AveriGuate,AveriGuate,≤100
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,≤100
103624499324342,KYHK,These ads ran without a disclaimer,≤100
119274074432076,Ciudad Metrópolis,Ciudad Metrópolis,≤100
112086655128494,Danilo Mazariegos,Dilan Daniel,≤100
728099677341714,Romeo Méndez,Romeo Méndez,≤100
103769008029892,Noticias San Marcos,Jennifer Lopez,≤100
103232488084729,Noticias Río Blanco S.M.,Jennifer Lopez,≤100
114466183616195,Noticias Ayutla,Jennifer Lopez,≤100
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100
102241754851760,Noticias El Quetzal S. M.,Jennifer Lopez,≤100
104089457996473,Noticias Malacatán,Jennifer Lopez,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
116704324641637,Fundacion De Búsqueda Y Rescate De Migrantes,These ads ran without a disclaimer,≤100
