Page ID,Page name,Disclaimer,Amount spent (DKK)
104418385829948,Kim Durhuus - Javnaðarflokkurin,Høgni Waag Høgnesen,≤100
101468079465082,Marnar Fríðheim Kristiansen - løgtingsvalið 2022,Marnar Fríðheim Kristiansen,≤100
101511186137174,Michael KOBA,Michael Koba,≤100
431348403656763,"Elsebeth Mercedis Gunnleygsdóttur, Fólkaflokkurin",Elsebeth Mercedis Gunnleygsdóttur,≤100
100997417927470,Johan Dahl,Johan Dahl,≤100
104578982479124,Magnus Rasmussen,Magnus Rasmussen,≤100
328763148050779,Rógvi Nybo - Tjóðveldi,RÓGVI NYBO,≤100
107975987243159,Rósa Samuelsen,Rósa Samuelsen,≤100
113763611552354,Christoffur Gert Nielsen - Framsókn,Teima ráðgeving,≤100
102547524944739,"Dánial Hansen, Fólkaflokkurin",Anna Simonsen,≤100
964926116915133,"Cat Construction Europe, Middle East & Africa",These ads ran without a disclaimer,≤100
101432772170839,Playermaker,These ads ran without a disclaimer,≤100
