Page ID,Page name,Disclaimer,Amount spent (ISK)
314036327204,VR,VR,487
737169626371453,Stundin,Stundin,245
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,137
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,≤100
92267063303,Stöð 2,Stöð 2,≤100
573559522797177,Flokkur fólksins,Flokkur Fólksins,≤100
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,≤100
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,≤100
154893001218870,ADHD samtökin,ADHD samtökin,≤100
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,≤100
