Page ID,Page name,Disclaimer,Amount spent (VND)
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,30152
109243288606367,Lương Y Phạm Văn Thanh Đặc Trị Đái Tháo Đường Mỡ Máu 0378.419.301,These ads ran without a disclaimer,16894
105889048892532,Phạm Văn Thanh- Đặc Trị Tiểu Đường,These ads ran without a disclaimer,13399
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,11473
858205190939265,Công Ty Cổ Phần Dược Phẩm TV.PHARM,These ads ran without a disclaimer,3470
100613984870990,Bệnh Viện Phụ Sản Thiện An,These ads ran without a disclaimer,2611
109450285323109,Triệu Trưởng - Hà Nội Ford,These ads ran without a disclaimer,2597
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,2416
101557466019224,Lương Y Phạm Văn Thanh - Trang Chủ,These ads ran without a disclaimer,1289
117467188007462,Vương Tới Tầm Cao VTB,These ads ran without a disclaimer,433
103259172532247,Bluestona Smart,These ads ran without a disclaimer,270
121721420925539,Tổng Kho Trưởng Ky Quang Huy,These ads ran without a disclaimer,125
100709629609731,Hyundai Hưng Yên -  Mr. Tuấn- 0978 826 567,These ads ran without a disclaimer,≤100
107477781437035,Tổng Kho Kệ TiVi Vách Ngăn Luxury,These ads ran without a disclaimer,≤100
101306269592181,Đầu Tư Phát Triển Tư Duy,These ads ran without a disclaimer,≤100
101216226075087,Enter News,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
