Page ID,Page name,Disclaimer,Amount spent (EUR)
101194455862998,Νίκος Χριστοδουλίδης - Nikos Christodoulides,Team Christodoulides2023,≤100
104730922313108,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,≤100
106743188642083,Φίλοι Μητροπολίτου Λεμεσού Αθανασίου - Friends of Metropolitan Athanasios,Neofytos Georgiou,≤100
178362315106,European Parliament,European Parliament,≤100
1523797697855594,Δήμος Λεμεσού - Limassol Municipality,Limassol Municipality,≤100
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,≤100
369722249746043,Ιερά Μητρόπολις Κωνσταντίας- Αμμοχώστου,Ιερά Μητρόπολις Κωνσταντίας- Αμμοχώστου,≤100
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,≤100
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,National CSIRT-CY,≤100
638668976238472,Cyprus Times,Cyprus Times,≤100
698669730577000,Ygeiawatch,Ygeiawatch,≤100
455359674534839,Νίκος Σύκας - Nikos Sykas,Νικολαος Συκας,≤100
1259389827467923,Cyprus Daily,Δημήτριος Χατζηαντώνη,≤100
314432094055,ShootandGoal,Δημήτριος Χατζηαντώνη,≤100
244607425634139,StockWatch Cyprus,Stockwatch,≤100
173342948271,Νεολαία Δημοκρατικού Συναγερμού (ΝΕΔΗΣΥ - NEDISY),Νεολαία Δημοκρατικού Συναγερμού,≤100
106427581398132,Δήμος Μέσα Γειτονιάς,Δήμος Μέσα Γειτονιάς,≤100
2222575577961067,Cyprus Center for Alternative Dispute Resolution,Cyprus Center for Alternative Dispute Resolution,≤100
103268228338042,Νατάσα Ιωάννου,Anastasia Ioannou,≤100
465987706758805,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,≤100
313200798730582,MyLife,Digital Tree,≤100
110548385691169,Avant Garde Cyprus,Digital Tree,≤100
2147276642205753,Κωνσταντίνος Χριστοφίδης 2023,Neo Kyma | Volt Cyprus,≤100
152323649047719,Μαχαιροχώρια,Blend Digital,≤100
477173845681759,Energyintel Services Ltd,Energyintel Services Ltd,≤100
108864138491933,Ορθόδοξη Κύπρος,Dimitrios Daniil,≤100
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,≤100
107898832590939,European Commission,European Commission,≤100
100513596223095,Murat Şenkul,Murat Şenkul,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,≤100
403291109741566,GNORA Communication Consultants,Gnora Communication Consultants,≤100
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,≤100
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
892427880871702,Kalia Loizidou School Psychologist & Career Counselor,These ads ran without a disclaimer,≤100
433315683785886,Hasan Sadıkoğlu,Hasan Sadıkoğlu,≤100
380431408783809,Pafos Municipality - Δημος Παφου,Pafos Municipality,≤100
213335395425425,Pissis Ltd,These ads ran without a disclaimer,≤100
799515186812344,Nemitsas Ltd.,Yiannis Pètevis,≤100
926536267380684,Columbia World-Wide Movers Ltd,These ads ran without a disclaimer,≤100
999438000148342,Σταύρος Παπαδούρης - Stavros Papadouris,Stavros Papadouris,≤100
108279412084089,Mahmut Özcınar,Mahmut Ozcinar,≤100
142976505811472,Masaryk University,These ads ran without a disclaimer,≤100
519155634805463,Zeki Çeler,Zeki Çeler,≤100
143250606370308,StudentLife Academy,These ads ran without a disclaimer,≤100
