Page ID,Page name,Disclaimer,Amount spent (XCD)
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),450
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,227
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),216
486723854867439,MYUPP,United Progressive Party,197
482198868521917,Asot Michael,Asot A. Michael,194
203239449860143,Harold Lovell,United Progressive Party,121
44846920403,Dean,Athill Dean Jonas,≤100
434709106604434,Progressive Youth,United Progressive Party,≤100
100466735989236,Kisean 'Brother Joe' Joseph,Kisean 'Brother Joe' Joseph,≤100
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100
