Page ID,Page name,Disclaimer,Amount spent (CHF)
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,373
126289610761942,Grünliberale,Grünliberale,190
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,149
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,≤100
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,≤100
1579272705641700,Gabriela Suter,Gabriela Suter,≤100
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,≤100
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,≤100
1483343695307824,Campax,Campax,≤100
921336971288655,Nagra,Nagra,≤100
147201418675114,Swissmem,Swissmem,≤100
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,≤100
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,≤100
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100
36735923253,umverkehR,umverkehR,≤100
309380022477251,Casafair,Casafair,≤100
1199285680176885,izzy,Verein Klimaschutz Schweiz,≤100
100257256973322,Stark+vernetzt,stark + vernetzt,≤100
1012263022170223,HotellerieSuisse,HotellerieSuisse,≤100
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,≤100
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100
110533229026103,EVP / PEV,EVP Schweiz,≤100
106964611977537,Switlo,Switlo,≤100
102718129475079,Ambil Sandy,Sandy Iwan Ambil,≤100
179845512038427,swisscleantech,swisscleantech,≤100
103915262545181,KMU geprüft,KMU geprüft,≤100
375071409495559,Future 3 I de,Fondation Future 3.0,≤100
1964006623854188,Christoph Zimmerli,Christoph Zimmerli,≤100
106321615725425,Oui à la Loi climat,Oui à la loi climat,≤100
382788625100001,SP Bezirk Bremgarten,SP Bezirk Bremgarten,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,≤100
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
48980326364,Public Eye,Public Eye,≤100
101012666338827,Überparteiliches Komitee DietikonFinanzierbar,Lea Sonderegger,≤100
2151592515105217,Christina Bachmann-Roth,Christina Bachmann-Roth,≤100
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,≤100
122482160824623,vvvote.ch,vvvote,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,≤100
102014399307738,Direkt,direkt,≤100
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100
15733998334,FDP,FDP,≤100
100844786282093,SÌ alla Legge clima,Sì alla legge clima,≤100
115967858108648,Susanne Dedecke glp,Grünliberale Partei Muhen,≤100
489922187805696,Junge SVP Kanton Bern,Junge SVP Kanton Bern,≤100
307334649460021,Axpo,These ads ran without a disclaimer,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
100847496372968,Ja zur Ombudsstelle Aargau,"Co-Präsidium Abstimmungskomitee ""Ja zur Ombudstelle Aargau""",≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
162373287239957,SVP Schweiz,SVP Schweiz,≤100
97721121385,Public Eye,Public Eye,≤100
202907189862969,Verdi Liberali,Parti vert'libéral Suisse,≤100
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,≤100
21506277966,Acronis,These ads ran without a disclaimer,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
128440447895402,Jeder Tag zählt e.V.,These ads ran without a disclaimer,≤100
132497703498525,Pro Velo Schweiz,Pro Velo Schweiz,≤100
1320679421302500,HabitatDurable,Casafair - HabitatDurable,≤100
107552952619935,WWF Schweiz,WWF Schweiz,≤100
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,≤100
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,≤100
335129001940,Young European Swiss - yes,young european swiss,≤100
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100
291359247729208,PS Suisse,PS Suisse,≤100
1131283210260777,Future 3,Fondation Future 3.0,≤100
106305221949785,Grünliberale Kanton Zug,Tabea Estermann,≤100
113821883316185,Faktischversichert,These ads ran without a disclaimer,≤100
2366189653627118,Matthias Meier,These ads ran without a disclaimer,≤100
107494077464434,Janine Vannaz,Janine Vannaz,≤100
101120115685831,SVP Stäfa,Marco Andreas Vogt,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
108608181846149,Umut Gökbas,Mehmet Umut Gökbas,≤100
18087904183,PLR,PLR,≤100
2061184407484577,Grüne Amriswil,Grüne Amriswil,≤100
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100
212297922293183,UDC Suisse,UDC Suisse,≤100
106311266104289,Die Mitte Kanton Luzern,Die Mitte Kanton Luzern,≤100
811451112243983,Grünliberale Basel-Stadt,Grünliberale Basel-Stadt,≤100
1524954517562834,Prominis,Prominis GmbH,≤100
467503303605894,PLR Castel San Pietro,PLR Castel San Pietro,≤100
1769803096579445,Grünliberale Bezirk Horgen,Adrian Furger,≤100
200905173303222,"SCI Switzerland (Schweiz, Suisse, Svizzera)","SCI Switzerland (Schweiz, Suisse, Svizzera)",≤100
106459178771498,Antonia Martina Durisch,Antonia Martina Durisch,≤100
618765881570878,EKS,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
106969792009830,ZJdob4,These ads ran without a disclaimer,≤100
1365446843572325,Dialog Forum - Perspektiven aus der Mitte Europas,These ads ran without a disclaimer,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
108569015081606,Reflection Pure,These ads ran without a disclaimer,≤100
107586311767908,Delicacy Estate,These ads ran without a disclaimer,≤100
100211985747396,Klimaform,These ads ran without a disclaimer,≤100
521870367919731,Metzgergenuss by EDEKA Südwest,These ads ran without a disclaimer,≤100
110339967042411,LastObject,These ads ran without a disclaimer,≤100
233543873455127,Novacolor Italia,These ads ran without a disclaimer,≤100
114358834824489,VerpackGo,These ads ran without a disclaimer,≤100
111809951518975,Happy Cure,These ads ran without a disclaimer,≤100
106366135411134,Die bayerischen Hochschulen,These ads ran without a disclaimer,≤100
110410464882233,My Dream World,These ads ran without a disclaimer,≤100
