Page ID,Page name,Disclaimer,Amount spent (VEF)
341721517096411,Radio Asamblea Nacional,an advertiser in Venezuela,800003
564188034075673,Roberto Enriquez,an advertiser in Venezuela,750000
329454973810761,Elias Sayegh,an advertiser in Venezuela,500000
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,500000
100520825048827,Movant Connection,These ads ran without a disclaimer,11870
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,≤100
108189194779478,malejandrac28,These ads ran without a disclaimer,≤100
82928774489,Panda Security,These ads ran without a disclaimer,≤100
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100
227622537655549,CGTN en Español,These ads ran without a disclaimer,≤100
100249739426308,Asociación Mundial de Periodistas,These ads ran without a disclaimer,≤100
