Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,735
860395507438977,Compromiso con el Cambio,Santiago Raffo Arias,109
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,≤100
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
409758545881921,Intendencia de Colonia,Intendencia de Colonia,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100
107574220629167,Carolina Batista,Norma Valentina Pérez Nunez,≤100
339506493370193,Richard Sander,Richard Saul Sander Darín,≤100
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,≤100
100520825048827,Movant Connection,These ads ran without a disclaimer,≤100
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,≤100
111232968542053,Manual del Instalador Solar,These ads ran without a disclaimer,≤100
