Page ID,Page name,Disclaimer,Amount spent (VND)
108390095364515,Phạm Văn Thanh- Đặc Trị Xương Khớp,These ads ran without a disclaimer,53273
130233404302747,Đại học Thái Nguyên hệ trực tuyến,These ads ran without a disclaimer,15915
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,10257
105473397490741,Phạm Thị Nga,These ads ran without a disclaimer,8598
116067974827401,Dr Xương Khớp - Gút - Đau mỏi,These ads ran without a disclaimer,7516
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,3486
111267731617802,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,2799
108685817326606,Truther Piece Official,These ads ran without a disclaimer,1672
1435112740092164,Kho sách hay,These ads ran without a disclaimer,1558
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,1362
1594005334231968,Daedong Korea Ginseng,These ads ran without a disclaimer,1330
104727295960051,Gà Mỷ Cựa Dao,These ads ran without a disclaimer,789
108381808695064,Hướng Dẫn Đầu Tư Tài Chính 2023,These ads ran without a disclaimer,735
113145355036082,Tổng Kho Sách Miền Bắc,These ads ran without a disclaimer,503
1433703283355526,Tủ Sách Pháp Luật,These ads ran without a disclaimer,500
105958092413680,Tài Chính Kinh Tế Bền Vững,These ads ran without a disclaimer,≤100
100868959430408,Ông Hoàng Gia Dụng - TP02,These ads ran without a disclaimer,≤100
133092590064183,Koktail Magazine - TFR,These ads ran without a disclaimer,≤100
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100
101291915685026,Thầy Thuốc Nhân Dân Phạm Văn Thanh,These ads ran without a disclaimer,≤100
112252328558942,Rc172-2,These ads ran without a disclaimer,≤100
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,≤100
113732748294969,Phát Triển kinh Tế Mới 2023,These ads ran without a disclaimer,≤100
