Page ID,Page name,Disclaimer,Amount spent (GTQ)
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,848
414127029025760,CABAL,CABAL,809
196258110831945,Partido Valor,Partido Valor,734
161800283848513,CREO,CREO,498
110226594945647,Partido BIEN,Partido BIEN,401
331961940541181,Partido Victoria,Partido Político Victoria,278
1612828795636861,Movimiento Semilla,Movimiento Semilla,270
268285610002238,FCN Nación,FCN Nación,267
102762215788405,VOS.gt,VOS.gt,228
187073013532,Partido VIVA,Partido Visión con Valores,198
110582257361172,Partido Azul,Partido Azul,181
101372268406640,Unión Republicana,Unión Republicana,110
104363285138486,Nosotros Guatemala,Partido Político Nosotros,110
1979136665715746,Shop502,Shop502,≤100
109189810962889,Comunidad Elefante,Comunidad Elefante,≤100
468114850661437,Noticias guate,Noticias guate,≤100
101555919274873,Mi Familia,Mi Familia,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,≤100
436246383083297,TODOS,TODOS,≤100
100567842339226,Noticias URNG Maíz,Noticias URNG Maíz,≤100
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,≤100
105216189254936,Un Líder correcto para Suchitepéquez,Un Líder correcto para Suchitepéquez,≤100
142556265766634,Guatemala Visible,Guatemala Visible,≤100
174740409237665,TSE Guatemala,TSE Guatemala,≤100
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
2363255300363966,Informativo Guate,Informativo Guate,≤100
102456692828805,Henry García,Henry García,≤100
111314650348631,Ahora Sí Guatemala,Ahora Sí Guatemala,≤100
281554395331686,República,"Republica GT, S.A.",≤100
122577984102328,Cotilleo,Cotilleo,≤100
108748214736261,Partido Republicano -PR-,Partido Republicano -PR-,≤100
101783548637407,Antigua News,Antigua News,≤100
110342054463001,Mientras tanto en Guate,Mientras tanto en Guate,≤100
744048319050593,Partido Humanista de Guatemala -PHG-,Partido Humanista de Guatemala -PHG-,≤100
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,≤100
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100
105685841067405,Alianza Global de Jóvenes Políticos Guatemala,Alianza Global de Jóvenes Políticos Guatemala,≤100
353485527057,Manuel Antonio Baldizón,These ads ran without a disclaimer,≤100
109312665510690,Politica Chapin,Politica Chapin,≤100
106555824384543,Detrás de la Política,Detrás de la Política,≤100
100747189646660,Política a la Tortrix,Política a la Tortrix,≤100
124187513936178,Denuncia Chapín,Denuncia Chapín,≤100
105661345802501,Partido político Victoria Huehue,Partido político Victoria Huehue,≤100
127019003713574,Bukelistas Guate,Bukelistas Guate,≤100
605765753092690,Alianza por la Auditoria Social San Marcos,These ads ran without a disclaimer,≤100
195909230476243,CONADI GUATEMALA,CONADI GUATEMALA,≤100
107592792281275,Valor Nentón,Valor Nentón,≤100
105602585885874,La Corte de los Chapines,La Corte de los Chapines,≤100
2205029029532409,Peten Vota Consciente Y Decide,Peten Vota Consciente Y Decide,≤100
110649051714525,TODOS Escuintla Departamental,TODOS Escuintla Departamental,≤100
113414431641350,Por Xela,Por Xela,≤100
1882597935332956,Partido VAMOS,These ads ran without a disclaimer,≤100
111949081919208,GuaTelevision,GuaTelevision,≤100
2244376355827322,No más corruptos,These ads ran without a disclaimer,≤100
379424505547,OACNUDH - Guatemala,Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos en Guatemala,≤100
109494025515376,Servando Yes Cuyotenango,These ads ran without a disclaimer,≤100
439669373244263,Yo APOYO A SUGER,Yo APOYO A SUGER,≤100
115808381519839,Los Niños de Mulet,Los ninos de mulet,≤100
2566080786769905,HIBS,These ads ran without a disclaimer,≤100
104503542166375,Soy Quetzalteco,These ads ran without a disclaimer,≤100
111083754946084,Partido Humanista San Marcos -PHG-,Partido Humanista San Marcos -PHG-,≤100
313343692104320,Resistencia y Liberación,These ads ran without a disclaimer,≤100
100810969425386,Movimiento político WINAQ San Juan Ixcoy,These ads ran without a disclaimer,≤100
304499560287545,Mariano Portillo,These ads ran without a disclaimer,≤100
1849068175149032,Movimiento Político WINAQ,Movimiento Político WINAQ,≤100
119422561503167,EL CATEDRÁTICO J-PEACE,These ads ran without a disclaimer,≤100
104453925888232,Unidos San Marcos Denuncia,These ads ran without a disclaimer,≤100
117622244670758,Celeste Hamm,Celeste Hamm,≤100
631720277452977,Informativo de Occidente,These ads ran without a disclaimer,≤100
100581485203180,elbencho.gt,These ads ran without a disclaimer,≤100
116740217976587,Bartolomé Chocoj Camey,Bartolomé Chocoj Camey,≤100
1497249213929424,Circula Centro de Liderazgo Restaurativo,These ads ran without a disclaimer,≤100
118547191208813,Noti  Perla Econidida Cuilco,These ads ran without a disclaimer,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
113365157671290,Unionista Depto. Chimaltenango,Unionista Depto. Chimaltenango,≤100
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100
298696726936594,Senacyt/concyt,These ads ran without a disclaimer,≤100
135019416549522,La Hora,La Hora,≤100
