Page ID,Page name,Disclaimer,Amount spent (KES)
515012855207241,Hon. Eng. Vincent Musyoka Musau Kawaya,Musa Vincent Musyoka,215
1506723769658512,Susan Kihika,Susan Kihika,123
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,≤100
1793544260969494,Hon. Cecily Mbarire MGH,Hon. Cecily Mbarire MGH,≤100
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
423841211058852,Embu County Government,Embu County Government,≤100
113761478285605,Minister Rahab Dan,These ads ran without a disclaimer,≤100
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,≤100
509725492464019,Hon Simon Ng'ang'a King'ara - SK,Simon Nganga Kingara,≤100
113396131374730,Rosemary Kirika - Kiambu County DG,Josphine Wairimu Mburu,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
107317838995523,no_taka_tanzania,These ads ran without a disclaimer,≤100
115393638502087,CPHI,These ads ran without a disclaimer,≤100
