Page ID,Page name,Disclaimer,Amount spent (XCD)
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,221
486723854867439,MYUPP,United Progressive Party,197
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),178
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100
116032046892777,UPP All Saints East and St. Luke's Constituency Branch,United Progressive Party,≤100
220849685513413,Antigua Breaking News,Antigua Breaking News,≤100
109407040848704,Sean Bird,United Progressive Party,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
44846920403,Dean,Athill Dean Jonas,≤100
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100
108584015345460,Antigua News,These ads ran without a disclaimer,≤100
