Page ID,Page name,Disclaimer,Amount spent (LBP)
1428873024044736,المدن - almodon,المدن - almodon‎,150376
112056958469490,SPI Lebanon,SPI Lebanon,122256
1438703606372190,Elham Said Freiha,Elham Said Freiha,105263
102023711572671,أساس ميديا -  Asas Media,Asas Media,60150
106197498149118,لبنان الكبير,Grand Lebanon,30075
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,30075
164472683608068,Act for the Disappeared,ACT for the Disappeared,30075
107800617419717,MYKA Foundation,MYKA Foundation,30075
1904241623145929,Democracy Reporting International Lebanon,Sharks Creators,24925
107698404702208,Alkalima,Alkalima Onlime,16391
2351186658355640,Lebanon And The World - لبنان والعالم,Lebanon And The World - لبنان والعالم,15038
103903271492389,لبنان العاجل,These ads ran without a disclaimer,15038
1012540132187376,Alafdal News الأفضل نيوز,AlAfdal News الأفضل نيور,15038
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,15038
123458990728979,maharat_training_center1,These ads ran without a disclaimer,≤100
2509759842418472,LebTalks,Lebtalks,≤100
1502687013388650,Media Factory News,Media Factory News,≤100
110470091436602,Ici Beyrouth,Ici beyrouth,≤100
241694985892927,Youth Forum for National Youth Policy - Lebanon,Youth Forum for National Youth Policy - Lebanon,≤100
1539423449628439,شبكة أصدقاء فلسطين,These ads ran without a disclaimer,≤100
960087244008629,MASAR,Masar,≤100
394633411339696,fiftyfiftylb,FiftyFiftylb,≤100
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,≤100
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,≤100
105319651353770,Jusur,Jusur,≤100
111876598323760,صدى الأرز اللبنانية,صدى الأرز اللبنانية,≤100
164267520267912,LebanonFiles.com (Live News From Lebanon),LebanonFiles.com (Live News From Lebanon),≤100
