Page ID,Page name,Disclaimer,Amount spent (XCD)
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,378
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),254
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),151
203239449860143,Harold Lovell,United Progressive Party,≤100
486723854867439,MYUPP,United Progressive Party,≤100
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100
102663679241421,Kelvin 'Shugy' Simon,United Progressive Party,≤100
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
44846920403,Dean,Athill Dean Jonas,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
