Page ID,Page name,Disclaimer,Amount spent (ZAR)
740116816003959,Western Cape Government,Western Cape Government,2430
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,1009
107681864296588,Western Cape Gambling and Racing Board,Western Cape Gambling and Racing Board,983
100228168822390,VF Plus- Kaap Agulhas,Vryheidsfront Plus / Freedom Front Plus,541
195909420099,Solidariteit,Solidariteit,330
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,328
147301545821830,Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape,Vryheidsfront Plus / Freedom Front Plus,302
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,293
57206003848,Greenpeace Africa,Greenpeace Africa,216
136956534616,Times LIVE,TimesLIVE,204
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,165
2145594122138312,Action Society,Action Society,119
181204251979581,NEASA,National Employers' Association of South Africa,117
478479492268974,Sunday Times ZA,Sunday Times,112
446648162438519,Thisisacumen,Acumen Media Management,107
6011868110,Democratic Alliance,Democratic Alliance,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
107169379305548,TLU SA,TLU SA,≤100
379138726819,ACDP,African Christian Democratic Party,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
221117158020122,Iranti,Iranti,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
1408620202688442,DA Mosselbaai Wyk 8,"Coetzee, Lodewyk Juan",≤100
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
103278761413963,Empowering SA,Empowering SA,≤100
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
629021617133721,Judges Matter,Judges Matter,≤100
614441158766955,Vote Dr Sipho P. Malapane 2024,Sipho Pienaar Malapane,≤100
277360345775848,WanderingThru,These ads ran without a disclaimer,≤100
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100
102265308016316,Al Jama-ah,Al Jama-ah,≤100
119736861394881,Financial Mail,These ads ran without a disclaimer,≤100
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100
112911711713431,Twenty 20 Koodal,These ads ran without a disclaimer,≤100
100864361686886,lecartableduneenseignante,These ads ran without a disclaimer,≤100
