Page ID,Page name,Disclaimer,Amount spent (HNL)
112724021787834,Por Nuestros Hijos,Con Mis Hijos No Te Metas HN,≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
108854322177699,Titanes de la Niñez,Con Mis Hijos No Te Metas HN,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
59130316278,Russ Adams Ministries,These ads ran without a disclaimer,≤100
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100
856012741442139,Ipas LAC,Astrid Leticia Aguilar Pinell,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
