Page ID,Page name,Disclaimer,Amount spent (VND)
101071576108959,An Viên Hà Nội - Chuyên Khoa Suy Giãn Tĩnh Mạch Hàng Đầu Việt Nam,These ads ran without a disclaimer,10617
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,8267
109432751532773,Lương Y Phạm Văn Thanh 166 Hàm Nghi Lào Cai,These ads ran without a disclaimer,4028
111831663772285,BOMvn,BOMvn,3783
919479674872321,Báo Nghệ An,Báo Nghệ An,729
101865258169428,ĐEN Secondhand,ĐEN Secondhand,486
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,462
104640271243082,Bách Hóa Ăn Dặm,Bách Hóa Ăn Dặm,439
117399794624246,Đầu Tư Thông Minh,These ads ran without a disclaimer,199
1635246696802970,Tuyển sinh trong nước và lao động,These ads ran without a disclaimer,184
100538306165371,Chìa Khóa Dẫn Đến Thành Công,These ads ran without a disclaimer,≤100
