Page ID,Page name,Disclaimer,Amount spent (LBP)
1438703606372190,Elham Said Freiha,Elham Freiha,228060
110436471982277,Assaha.square,Assaha.square,179104
116141051407408,Amin Salam,Rami Salam,122836
107800617419717,MYKA Foundation,Elie M. ElHelou,117612
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,104478
154029261310643,LADE,LADE,89552
104918301844248,Project Watan LB,Project Watan,74627
102282304519788,Awalan.com,Awalan- Al-Iktissad Wal-Aamal,65522
1904241623145929,Democracy Reporting International Lebanon,Sharks Creators,59701
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,44776
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,44776
230720990840290,Safaa Darwich - صفاء درويش,Safaa Darwich,29851
394633411339696,fiftyfiftylb,FiftyFiftylb,29851
105319651353770,Jusur,Jusur,29851
107698404702208,Alkalima,Alkalima Onlime,29851
137195823051820,Maharat Foundation,Maharat Foundation,29851
110470091436602,Ici Beyrouth,Ici beyrouth,27164
112056958469490,SPI Lebanon,SPI Lebanon,14925
278035695547539,Legal Agenda  المفكرة القانونية,legal Agenda,14925
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,14925
128417954019381,Al-Moltaka,Melhem Boustany,14925
121129357949826,Saida Online,Saida Online,14925
101195012850076,مبادرة الدولة الديمقراطية الواحدة,مبادرة الدولة الديمقراطية الواحدة,14925
108728968627122,Beirut24.org,Beirut24.org,14925
1744356319118477,هنا لبنان,هنا لبنان,14925
110061328654858,Judge Mohamad Saab,Judge Mohamad Saab,14925
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,14925
101029892524840,اللادينيون السوريون,These ads ran without a disclaimer,≤100
109831251935707,خليل المقداد,These ads ran without a disclaimer,≤100
