Page ID,Page name,Disclaimer,Amount spent (INR)
953600271404690,BJP Meghalaya,Bharatiya Janata Party,2640
338791202812647,Earth Care Awards,Prabhindar Singh Chopra,440
109937650579639,discovery+,discovery+,199
113216835103345,Meghalaya State Pollution Control Board,These ads ran without a disclaimer,≤100
479998865355592,Aditya Birla Group,Aditya Birla Group,≤100
21169267101,Give,Give,≤100
2610079412396734,Amaresh Rai,Amaresh Kumar Rai,≤100
104736419210593,PACE INDIA,PACE INDIA,≤100
123405501008524,Mercedes-Benz India,Mercedes-Benz India,≤100
30290552843,Greenpeace India,Greenpeace Environment Trust,≤100
105694514269834,North Eastern Region Community Resource Management Society,Shrinivas Ravichandran Nadar,≤100
100196004828444,North Eastern Council,Sourabh Arvind Dubey,≤100
74713936682,PETA India,These ads ran without a disclaimer,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India","Ministry of Development of North Eastern Region, Government of India",≤100
404746486258732,Project Nanhi Kali,Project Nanhi Kali,≤100
103782051383159,School of Politics,School of Politics,≤100
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,≤100
797927846899300,Flag Foundation of India,Flag Foundation of India,≤100
112314771829803,NorthEast Global Investors Summit,Sourabh Arvind Dubey,≤100
118227367824577,Garuda Aerospace Pvt Ltd,Garuda Aerospace Pvt Ltd,≤100
270666596375251,Jhatkaa.org,Jhatkaa.org,≤100
333426070147135,Benny Kuriakose Associates,Benny Kuriakose Associates,≤100
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,≤100
101437656247049,Modi Quotes,Modi Quotes,≤100
103702839094687,Times Special,These ads ran without a disclaimer,≤100
889810991147251,Nyamar Karbak,Nyamar Karbak,≤100
466835200043903,उमेद अभियान - Maharashtra State Rural Livelihoods Mission,MASRLM,≤100
109545244848137,Crafto,Kutumb App,≤100
100328978216424,"Fight Pollution, Not Plastics",Nitesh Singh,≤100
170406447891376,Dr. Koteswara Rao,These ads ran without a disclaimer,≤100
150727778825020,Mobius Foundation,Mobius Foundation,≤100
107760062318468,E-Mudra Loan,Ajay Tiwari,≤100
186199704897466,RD Foundation,RD Foundation,≤100
103919196053348,indiabooks1,These ads ran without a disclaimer,≤100
103040206040226,Dr. B S Ajaikumar's Thought Leadership,Dr. B S Ajaikumar's Thought Leadership,≤100
104441165999273,E-Mudra Capital,Pravinbhai Sindha,≤100
107395897271506,Kutumb,Swatantra Verma,≤100
100974976268078,Thp Gift,Lata Vani,≤100
132689140088396,smilefoundation,smilefoundation,≤100
704315853046156,DesignBoxed,DesignBoxed,≤100
1496417093971777,Inder Singh,Inder Pal Singh,≤100
165714096933078,Piyush Goyal,Piyush Goyal,≤100
102573082840274,Shambhawi Peethadhishwar,Aditya Nath Jha,≤100
107402542356423,Dhanlaxmi financial,These ads ran without a disclaimer,≤100
100735178208398,Udyami India,Samadhan Samiti,≤100
102715296085726,Neta Ji,Deepak Mehla,≤100
289085061102499,Sukhwinder Singh Bindra,Sukhwinder Pal Singh,≤100
285029500623,CARE India,CARE India,≤100
101328314869205,Atal Amrit Abhiyan Society,Atal Amrit Abhiyan Society,≤100
235746856771965,HVP Mandal,HVP Mandal,≤100
282198256011533,PM Narendra Swamy,PM Narendra Swamy,≤100
142752549111246,Construction World Magazine,Asapp Info Global Services Pvt. Ltd,≤100
100578959345573,GHR INFRA,These ads ran without a disclaimer,≤100
140930379388330,Kishan Reddy Gangapuram,Kishan Reddy Gangapuram,≤100
696055677109053,Neeraj Kundan,Deepak Khatri,≤100
204318116677554,National Herald,National Herald,≤100
103218729271141,NLC Bharat,These ads ran without a disclaimer,≤100
301902473766068,முதல்வன் OPS,M Mahalakshmi,≤100
140206666732942,हिंदुस्तान मेरी जान,हिंदुस्तान मेरी जान,≤100
112061804808512,Bihar State Sports Authority - BSSA,Ajit Kumar,≤100
220803731286272,Panasonic India,Amit Chauhan,≤100
33497111948,Child Rights and You,Child Rights and You,≤100
105671775473178,Jan Suraaj,Jan Suraaj,≤100
109561335477859,Tonny Casino07,These ads ran without a disclaimer,≤100
1652675041670519,Troopel,Atul Malikram,≤100
552159824873262,Kethireddy M.L.A,Venkata Krishna Reddy Kethireddy,≤100
102576955846347,என்னடா பண்ணி வச்சிருக்கீங்க,M Mahalakshmi,≤100
116383754696955,Antardhwani - The Inner Voice,Antardhwani,≤100
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,≤100
107334185444129,Charitism Global,Charitism Global,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India",Arshad Ali,≤100
