Page ID,Page name,Disclaimer,Amount spent (TWD)
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),794
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,451
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,370
693907914395620,良杯製所 Oolab,良杯製所 Oolab,243
206471793062673,Netflix,These ads ran without a disclaimer,231
217517810298674,地方政治觀察家,皮爾森數據,207
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,114
286487218798,遠見雜誌,遠見雜誌,≤100
177161918975981,基督教芥菜種會,基督教芥菜種會,≤100
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,≤100
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,≤100
304982903476818,譜曲辰,These ads ran without a disclaimer,≤100
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,≤100
362947561186301,何禮臺-新城鄉公所,紳旭 李,≤100
106801464127093,目目非營利 MUVE NPO,目目非營利,≤100
211730475524462,大陸委員會,大陸委員會,≤100
547129002067069,杜文中,文中 杜,≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
105077122161819,王文淵,These ads ran without a disclaimer,≤100
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,≤100
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,≤100
102046048924214,Alpha plus - 人才加速器,Alpha plus - 人才加速器,≤100
105692292105892,黃士修,Shih-Hsiu Huang,≤100
103469901828540,挖貝 WaBay,挖貝 WaBay,≤100
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,≤100
134086613358799,立法委員孔文吉,Wenchi Kung,≤100
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,≤100
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,≤100
158025223269,今周刊,今周刊,≤100
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,≤100
1855418728011324,鏡週刊,鏡週刊,≤100
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,≤100
101297638763256,識媒體,識媒體,≤100
322447507832934,文茜的世界周報 Sisy's World News,文耀胡,≤100
167913323845559,FNG世代設計｜為了下一代而設計,FNG世代設計｜為了下一代而設計,≤100
101576862144790,工程師看政治,玄超 黃,≤100
1535242033367738,台灣知識種子計畫,台灣知識種子計畫,≤100
104624290080479,張育美,翊斌黃,≤100
436843193180529,Unipapa,Unipapa,≤100
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),These ads ran without a disclaimer,≤100
