Page ID,Page name,Disclaimer,Amount spent (NGN)
2010410822318073,Tvcnewsng,Tvcnewsng,301
204420296789348,Ekerete Udoh,Ekerete Udoh,144
103018869332378,BantuPage,BantuPage,≤100
986384794781764,I Stand With Nigeria 4 Tinubu,I Stand With Nigeria 4 Tinubu,≤100
606800679765375,Voice2RepNg,Accountability Lab Nigeria,≤100
869639890052073,Take Back Imo,Take Back Imo,≤100
104238252286926,Nwankwo Promise Chibuzo,Nwankwo Promise Chibuzo,≤100
105580098826545,Fr. Hyacinth Iormem Alia,Fr. Hyacinth Iormem Alia,≤100
100202924924063,Page 36,Page 36,≤100
115798340116713,Ogouniquetv,Ogouniquetv,≤100
547389282097592,Askshoehorn Backup,These ads ran without a disclaimer,≤100
123428961139516,Clive Sugar George,These ads ran without a disclaimer,≤100
111810962838210,WAFFI TV,WAFFI TV,≤100
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,≤100
555746311110451,TVCconnect,TVCconnect,≤100
105660921286623,It's  Trending Now,These ads ran without a disclaimer,≤100
106334182540171,스키마리딩,These ads ran without a disclaimer,≤100
104643712701078,Sub-Saharan Africa Business and Investment Summit,These ads ran without a disclaimer,≤100
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100
118331344683021,EcoSuds,These ads ran without a disclaimer,≤100
297904423657616,The ICIR,The ICIR,≤100
744766039058747,Inside Kaduna,Inside Kaduna Media,≤100
663264130452264,Ninety One Productions,These ads ran without a disclaimer,≤100
176104589110851,IEEE,These ads ran without a disclaimer,≤100
