Page ID,Page name,Disclaimer,Amount spent (KES)
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,Hon. Zaheer Jhanda Mp Nyaribari Chache,382
110408975208360,Talking about matters,Well Made Strategy LLP,≤100
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,≤100
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,These ads ran without a disclaimer,≤100
344924819231181,"Hon. Rahab Mukami, Nyeri County Women Rep",Rahab Mukami Wachira,≤100
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
108564802109094,Lokoi FM,These ads ran without a disclaimer,≤100
1692208237695305,Button Badges,George Kingori Warui,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
100146899431342,Nairobi Leaks,Peris Wambui Mugi,≤100
246999515773477,Siasa Lab,Peris Wambui Mugi,≤100
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,≤100
146552652597882,Mundia Samwel,These ads ran without a disclaimer,≤100
515012855207241,Hon. Eng. Vincent Musyoka Musau Kawaya,Musa Vincent Musyoka,≤100
181477995294794,SYSPRO Global,These ads ran without a disclaimer,≤100
423670114403144,Trending in China,These ads ran without a disclaimer,≤100
