Page ID,Page name,Disclaimer,Amount spent (CHF)
108392832120312,Perspektive Zürich,Perspektive Zürich,≤100
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,≤100
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,≤100
109469528675603,Philipp Egger,Philipp Egger,≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
488909884546537,GLP Winterthur Land,GLP Winterthur Land,≤100
125466200895962,Valentin Landmann,Sven Kunz,≤100
107515328348195,Michael Uebersax,Michael Stefan Uebersax,≤100
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
102014399307738,Direkt,direkt,≤100
102109691904848,swiss-food.ch,swiss-food.ch,≤100
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,≤100
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,≤100
100345702834585,All Out Deutschland,All Out,≤100
135939773133793,Grüne Winterthur,Grüne Winterthur,≤100
650175488441328,Martin Farner,Farners GmbH,≤100
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,≤100
113814477835,Piratenpartei Schweiz,Piratenpartei Schweiz,≤100
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,≤100
292711521138736,IPFO,International Photo Festival Olten,≤100
169042736456594,All Out,All Out,≤100
1483343695307824,Campax,Campax,≤100
108692711660498,Urs Wegmann,Urs Wegmann,≤100
354548604968651,Peter Metzinger in den Kantonsrat,Peter Alois Metzinger,≤100
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
101120115685831,SVP Stäfa,SVP Stäfa,≤100
102014399307738,Direkt,These ads ran without a disclaimer,≤100
120204928045279,SP Wetzikon,SP Wetzikon,≤100
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
591968957877984,Andrea Isler,Andrea Lara Isler,≤100
204681090069567,Hedera,These ads ran without a disclaimer,≤100
108812118501,Alnatura,These ads ran without a disclaimer,≤100
107688494708255,Humaniti,These ads ran without a disclaimer,≤100
19746387261,Humane Society International,These ads ran without a disclaimer,≤100
