Page ID,Page name,Disclaimer,Amount spent (UYU)
103988995047541,Diputada Nancy Nuñez Soler,Nancy Nuñez,≤100
383445061841675,Casa Grande FA,Casa Grande,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
118843371534548,AUTE - Agrupación UTE - Sitio Oficial,AUTE,≤100
1633909283493941,Ert Bps,Director Representante del Sector Trabajadores Ramón Ruiz,≤100
106025095512593,Corazón Celeste,These ads ran without a disclaimer,≤100
316246769083069,Corruptos Radio,Corruptos Radio,≤100
225968600759645,Andrés Lima,Andrés Lima,≤100
100408874886094,Todo Montevideo,These ads ran without a disclaimer,≤100
2101673416799600,El Día UY,El Día UY,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
104592172188409,Best Novel,These ads ran without a disclaimer,≤100
