Page ID,Page name,Disclaimer,Amount spent (PYG)
1468570519872644,Santiago Peña,PRANA SA,36603
110447625137045,Pilar Callizo,PautaPY,36239
532716330164048,Sole Núñez,PautaPY,26056
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,21962
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,16370
102963512483270,PyElige,PY Elige,14591
102467002671611,Jorge Heisecke,Jorge Heisecke,13318
1510805942583059,Norma Zarate de Monges,Norma Zarate,12254
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,7321
196599783696918,Efrain Alegre,Efrain Alegre,6537
113351910838827,Alma Cívica,Alma Cívica,6157
1480283795370502,Jorge Avalos Mariño Diputado Nacional,Omar Fretes,5566
325540631525675,En La Tecla,En la Tecla,5552
102266292553995,Sucia Política,Diego Ricardo Ramírez,4112
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,3614
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,3342
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,2943
517426394969535,Ricardo Canese,Ricardo Canese,2099
392501567470357,Martín Arévalo,Mario Martin Arevalo Fernandez,2087
2153366651445517,Líder Radio Tv Online,Líder Radio Tv Online,1889
141678063114851,Ruben Velazquez,Dalva Natividad Acosta Vallejos,1821
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,1742
1386037631635162,Hugo Ramírez,Nahuel Ayala Gomez,1712
241512319274531,Sixto Pereira,Sixto Pereira,1446
108956608577334,Gaspar Centurión,Gaspar Centurión,1104
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,1097
102649292598442,Senador Hugo Richer,Senador Hugo Richer,1096
184860595385745,Ing. Roberto Jiménez - Concejal,Roberto Fernando Jimenez Ayala,983
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,906
1151984808290856,Hugo Portillo,Hugo Portillo,727
1403603539906921,Manu Morínigo Chaparro PY,Manu Morínigo Chaparro,597
150229055012487,UNICEF Paraguay,UNICEF Paraguay,586
101557432041474,Levi Leguizamón,Levi Leguizamón,560
123599227695584,Patria Querida Lambaré,Patria Querida Lambaré,527
103429818624929,Edu Garay,Eduardo Garay,412
438741996188530,Eusebio Alvarenga Diputado Nacional,Eusebio Alvarenga Diputado Nacional,403
110519067948636,Silvani Concejal x Cordillera 2023,Anibal Silvani Asilvera Martinez,397
153958777947957,Paulo Reichardt,Paulo Reichardt,366
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,330
1753251591598763,Dani Mujica,Celso Kevin Ramon Sánchez Florentin,247
109041755331821,Esther Roa,Maria Esther Roa De Espinola,242
881571071938611,Radar Social TV,Armando Daniel Urbieta,229
104430091943649,Juan Manuel Del Puerto. Senador 2023,Verenis Liliana Raquel Araujo Rojas,210
108154268869735,Dr. Vicente Fariña Senador,William Andrés Campuzano Ruiz,135
101384675336775,OSCAR LÓPEZ Tu Concejal,Yisel Maria Esperanza Ojeda Lopez,≤100
2308001132577054,Alejo Ventura,Alejo Ventura,≤100
165042833621264,Schneider Electric,These ads ran without a disclaimer,≤100
1903045496681398,Celeste Diputada,Celeste Josefina Amarilla De Boccia,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
101113432037400,Laisha cardozo,Laisha Elena Cardozo Acosta,≤100
112013680926673,Fabiola Galeano,Fabiola Galeano,≤100
101840779897426,Cristian Cardozo,Cristian Antonio Cardozo Villalba,≤100
1547194582252394,Denis Lichi,Global Agencia,≤100
103771265752808,Vysokolán,Stephan Vysokolán,≤100
1441704549436832,Regina Rios,Regina Rios Irala,≤100
797815127058039,Delighttourscancun,These ads ran without a disclaimer,≤100
