Page ID,Page name,Disclaimer,Amount spent (ZAR)
105398335585126,Western Cape Education Department,Western Cape Education Department,4003
144985128871748,City of Cape Town,City of Cape Town,971
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,948
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,459
6011868110,Democratic Alliance,Democratic Alliance,403
136956534616,Times LIVE,TimesLIVE,244
111665867690398,Awais Graphics,These ads ran without a disclaimer,201
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,176
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),157
229641360457150,Good Governance Africa,Good Governance Africa,135
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,134
165736836881428,GroundUp,GroundUp News NPC,133
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
2145594122138312,Action Society,Action Society,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
1018230624896572,Siyakwazi Youth Network,Hamlet Enrico Johannes,≤100
259053084574400,Wahl SA,These ads ran without a disclaimer,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
183639028356101,African Bank,These ads ran without a disclaimer,≤100
1408620202688442,DA Mosselbaai Wyk 8,"Coetzee, Lodewyk Juan",≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
109797290826876,Ian Cameron,Action Society,≤100
1442286572460668,Inside Education,Inside Education,≤100
629021617133721,Judges Matter,Judges Matter,≤100
1271402709601865,HEALA,HEALA,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
103131862424141,IZWE LETHU PARTY,IZWE LETHU PARTY,≤100
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100
106247942465530,Ask SA,Freedom Advocacy Network,≤100
106283144372677,IWG,These ads ran without a disclaimer,≤100
167810553565549,Conor O'Neill - The Everyday Athlete Program,These ads ran without a disclaimer,≤100
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100
111430208106943,el.tayo_ofosuah,These ads ran without a disclaimer,≤100
102086541998847,geanfrancadesigner,These ads ran without a disclaimer,≤100
