Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
109652028193268,Revizije info,Revizije info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
147315858633088,Istinomjer,Istinomjer,≤100
163322863710900,Evropska unija u Bosni i Hercegovini,Ured spec. predstavnika,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100
100144305792009,Podkist - znanstveno obrazovni podcast,These ads ran without a disclaimer,≤100
102092095798552,BLink.ba,These ads ran without a disclaimer,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
111384317211356,Mr.sci. Hariz Redzic,Hariz Redzic,≤100
197596636939679,tacno.net,Tacno.net,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
120481645203741,Dragan Bursać,These ads ran without a disclaimer,≤100
113476294277368,stamina.dj,These ads ran without a disclaimer,≤100
255127654510160,Karike.ba,These ads ran without a disclaimer,≤100
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
753740401664958,Omer Berbic,Omer Berbic,≤100
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
2430163100537312,Spin Info,Spin Media,≤100
