Page ID,Page name,Disclaimer,Amount spent (SEK)
608975645850217,Vattenfall,Vattenfall Sverige,≤100
162985227114132,Skellefteå Kraft,Skellefteå Kraft,≤100
101341883359561,Matsmart Sverige,Matsmart,≤100
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,≤100
643137272398136,Sverige för UNHCR,Sverige för UNHCR,≤100
186513678039755,Fortum,Fortum Sverige,≤100
59324455950,UNICEF Sverige,UNICEF Sverige,≤100
382243262003,Plan International Sverige,Plan International Sverige,≤100
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,≤100
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,≤100
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),≤100
109886133732943,RESCUE - Sverige,RESCUE - Sverige,≤100
1531320107133721,Syre,Dagens O2 AB,≤100
161213770567846,Operation Smile Sverige,Operation Smile Sverige,≤100
273053169937029,ClimateHero,ClimateHero,≤100
328754490337,Vårdförbundet,Vårdförbundet,≤100
379686162129542,Svea Bank,Svea Ekonomi,≤100
223053457729155,Unga Örnar,Unga Örnars Riksförbund,≤100
111564248245329,Rimliga villkor,Tove Anna Dagerman,≤100
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,≤100
72659261793,Rädda Barnen,Rädda Barnen,≤100
